"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends","Percentage of patients who need unplanned medical care related to a wound that is new, is worse, or has become infected","Percentage of patients whose wounds improved or healed after an operation"
"679422","3M HEALTHCARE SERVICES","10615 ROCKLEY ROAD","HOUSTON","TX","77099","7135540806","Proprietary",1/29/2004 0:00:00,"Y","Y","Y","Y","Y","Y",38,36,28,36,55,37,32,34,6,61,2,199
"147963","4 SEASONS HOME HEALTHCARE SERVICES CORP","121 S WILKE ROAD, STE #204D","ARLINGTON HEIGHTS","IL","60005","8473942273","Proprietary",5/10/2007 0:00:00,"Y","Y","Y","Y","Y","N",199,199,199,199,199,199,199,199,199,199,199,199
"237759","4 STAR HOME HEALTH CARE, INC","17520 W 12 MILE ROAD SUITE 108","SOUTHFIELD","MI","48076","2483955265","Proprietary",6/27/2008 0:00:00,"Y","Y","Y","N","Y","Y",199,199,199,199,199,199,199,199,199,199,199,199
"147766","5 STAR HEALTHCARE, INC","1974 MINER STREET, 1ST FLOOR","DES PLAINES","IL","60016","8472570130","Proprietary",4/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",39,40,38,69,62,33,43,43,46,46,0,199
"109254","5 STAR HOME CARE LLC","1001 N FEDERAL HIGHWAY SUITE 326","HALLANDALE","FL","33009","9543917676","Proprietary",5/6/2009 0:00:00,"Y","Y","Y","N","N","Y",201,201,201,201,201,201,201,201,201,201,201,201
"109101","5 STAR HOME CARE LLC","1821 SW 27 AVENUE","MIAMI","FL","33145","3058541066","Proprietary",11/11/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199,199
"108195","5 STAR HOME HEALTH SERVICES, INC","5104 NORTH ORANGE BLOSSOM TRAIL, SUITE 116","ORLANDO","FL","32810","4072962610","Proprietary",9/1/2005 0:00:00,"Y","Y","Y","Y","Y","Y",40,71,26,100,77,72,77,33,0,62,0,199
"058306","81 HOME HEALTH SERVICES","14442 EAST WHITTIER BLVD SUITE 204","WHITTIER","CA","90605","5623200456","Proprietary",7/15/2005 0:00:00,"Y","Y","Y","Y","Y","Y",63,48,23,83,63,30,69,24,9,70,0,199
"237186","A   D HEALTH CARE PROFESSIONAL","3150 ENTERPRISE","SAGINAW","MI","48603","9892490929","Proprietary",1/22/1986 0:00:00,"Y","Y","Y","Y","Y","Y",44,61,55,64,56,34,61,39,24,56,3,90
"108095","A & A HEALTH SERVICES INC","3408 WEST 84TH ST STE 203","HIALEAH","FL","33018","3058252112","Proprietary",9/2/2004 0:00:00,"Y","Y","Y","Y","Y","Y",38,31,1,86,52,16,3,26,5,73,0,80
"678144","A & A HOME HEALTH SERVICES","7100 REGENCY SQUARE  SUITE 262","HOUSTON","TX","77036","7137838803","Proprietary",2/26/1996 0:00:00,"Y","Y","Y","Y","Y","Y",25,26,26,38,44,30,38,38,25,57,1,71
"108001","A & A HOMECARE, INC","211 NORTH HIGHWAY 71","WEWAHITCHKA","FL","32465","8502273331","Proprietary",11/7/2003 0:00:00,"Y","Y","Y","N","N","Y",54,68,48,74,72,40,72,18,19,73,0,95
"109155","A & B HEALTH SERVICES INC","1051 WEST 29 STREET STE 2","HIALEAH","FL","33012","3058872659","Proprietary",2/11/2009 0:00:00,"Y","Y","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201,201
"457892","A & B HOME HEALTH CARE INC","555 IH 35 SOUTH SUITE #324","NEW BRAUNFELS","TX","78130","8306254837","Proprietary",9/22/2005 0:00:00,"Y","Y","Y","Y","Y","Y",41,47,33,66,62,35,46,47,34,42,1,199
"108075","A & B HOME HEALTH INC","4431 DAVIE ROAD, SUITE 119","DAVIE","FL","33314","9543218681","Proprietary",7/15/2004 0:00:00,"Y","Y","Y","Y","Y","Y",41,34,40,38,55,40,31,27,2,71,1,199
"077239","A & B HOMEHEALTH SOLUTIONS, INC","419 WHALLEY AVENUE","NEW HAVEN","CT","06511","2038481986","Proprietary",12/12/2006 0:00:00,"Y","Y","Y","Y","Y","Y",35,44,37,66,48,41,69,22,22,76,0,199
"679451","A & C HEALTH SERVICES","10101 FONDREN ROAD SUITE 220A","HOUSTON","TX","77096","7137718570","Proprietary",3/17/2004 0:00:00,"Y","Y","Y","Y","Y","Y",29,14,34,35,32,35,36,26,28,55,0,199
"679395","A & C HEALTH SERVICES INC","6714 N NEW BRAUNFELS SUITE 203","SAN ANTONIO","TX","78209","2108291500","Proprietary",12/19/2003 0:00:00,"Y","Y","Y","Y","Y","Y",25,9,199,199,49,199,43,29,31,69,0,199
"743122","A & D HOME HEALTH SERVICES INC","1309 MILL BRANCH DRIVE","GARLAND","TX","75040","2147039665","Proprietary",3/20/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,0,199
"679532","A & G HOME HEALTH SERVICES","409 TODVILLE SUITE C","SEABROOK","TX","77586","2812910168","Proprietary",8/9/2006 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,0,199
"679333","A & G PERSONAL PROVIDER SERVICES","409 TODVILLE SUITE B","SEABROOK","TX","77586","2814742277","Proprietary",9/4/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,57,0,43,0,199
"457998","A & I HEALTHCARE INC","1004 N ILLINOIS","WESLACO","TX","78596","9569687017","Proprietary",2/8/2006 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,48,6,45,0,199
"368130","A & L HOME CARE AND TRAINING CENTER, LLC","6101 COUNTY ROAD 107","PROCTORVILLE","OH","45669","7408867623","Proprietary",12/15/2005 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,38,15,59,6,199
"679777","A & M NURSING SERVICES LLC","222 W ADAMS AVE SUITE B","HARLINGEN","TX","78550","9564213999","Proprietary",4/23/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,58,37,38,0,199
"147981","A & S HOME HEALTHCARE, INC","837 S WESTMORE, STE B-26-C","LOMBARD","IL","60148","6306209981","Proprietary",10/4/2007 0:00:00,"Y","Y","N","N","Y","Y",44,45,199,199,56,199,199,56,7,39,0,199
"679633","A & T MULTI HEALTHCARE SERVICES","7923 CHANCEL DRIVE","HOUSTON","TX","77071","7137230425","Proprietary",5/11/2007 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,39,7,54,0,199
"147924","A & Z HOME HEALTH CARE, INC","3232 RIDGE ROAD, SUITE 1","LANSING","IL","60438","7084181608","Proprietary",2/1/2007 0:00:00,"Y","Y","Y","Y","Y","Y",71,59,59,39,80,47,30,34,2,64,0,199
"398098","A + HOME HEALTH","80-1 SANDUNE DRIVE","PITTSBURGH","PA","15239","7243271090","Proprietary",2/19/2009 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"108456","A + QUALITY HOME HEALTH CARE","10286 NW 47TH STREET","SUNRISE","FL","33351","9549280366","Proprietary",8/29/2007 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199,0,199
"467200","A - PLUS HOME CARE","1443 NORTH 1200 WEST","OREM","UT","84057","8012250990","Proprietary",2/1/2001 0:00:00,"Y","Y","Y","Y","Y","Y",52,72,57,56,75,46,69,22,16,69,1,88
"367603","A 1 ASSOCIATED NURSES INC","1298 ASHLAND ROAD","MANSFIELD","OH","44905","4195892776","Proprietary",11/1/1994 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199,199,199
"679326","A 1 HOME CARE","535 WEST PURNELL SUITE 150","LEWISVILLE","TX","75057","9722211072","Proprietary",8/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",51,58,199,75,66,199,71,38,6,59,0,199
"457988","A 1 HOME HEALTH CARE","1112 WITTER","PASADENA","TX","77506","7134752300","Proprietary",1/27/2006 0:00:00,"Y","Y","Y","Y","Y","Y",34,31,34,40,46,44,37,36,27,57,1,199
"367193","A 1 NURSING CARE INC","1855 EAST DUBLIN GRANVILLE ROAD, SUITE 204","COLUMBUS","OH","43229","6143683800","Proprietary",7/16/1982 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199,5,199
"367542","A 1 NURSING CARE OF CLEVELAND","2060 SOUTH TAYLOR ROAD, SUITE 101","CLEVELAND HEIGHTS","OH","44118","2168123437","Proprietary",11/2/1993 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,42,43,60,0,199
"497594","A ALL ABOUT CARE","10043 MIDLOTHIAN TURNPIKE, SUITE 204","RICHMOND","VA","23235","8045605430","Proprietary",11/10/2004 0:00:00,"Y","Y","Y","Y","Y","Y",41,41,37,63,54,38,65,29,20,67,2,85
"743163","A AMERICAN HOME CARE AND COMMUNITY SERVICES LLC","602 SOUTH JOHN RIDDITT DRIVE","LUFKIN","TX","75904","9366323000","Proprietary",9/15/2008 0:00:00,"Y","Y","Y","Y","N","Y",51,46,34,65,61,199,34,47,15,49,1,199
"747060","A BEAUTIFUL DAY HEALTH CARE","1902 BALD CYPRESS","WESLACO","TX","78596","9564472046","Proprietary",1/21/2009 0:00:00,"Y","Y","N","N","Y","N",201,201,201,201,201,201,201,201,201,201,201,201
"679731","A BETTER HOMECARE","6250 WESTPARK SUITE 211","HOUSTON","TX","77057","7134019423","Proprietary",3/17/2008 0:00:00,"Y","Y","Y","Y","Y","Y",16,8,13,21,22,4,2,29,25,67,5,199
"267601","A BETTER WAY HOME CARE","15332 MANCHESTER ROAD - SUITE 201","ELLISVILLE","MO","63011","6363915353","Proprietary",12/6/2005 0:00:00,"Y","Y","Y","Y","Y","Y",56,60,68,70,73,35,55,38,15,60,1,199
"057433","A C  HOME HEALTH AGENCY, INC.","3870 CRENSHAW BLVD 205","LOS ANGELES","CA","90008","3232945189","Proprietary",10/12/1993 0:00:00,"Y","Y","Y","Y","Y","Y",49,45,58,65,78,56,62,28,14,64,0,199
"457965","A C T HOME HEALTH","4401 I 35 SUITE 208","DENTON","TX","76207","9404842900","Proprietary",12/1/2005 0:00:00,"Y","Y","Y","Y","Y","Y",31,42,45,56,63,34,39,41,41,54,0,199
"677966","A CARE HOME HEALTH SERVICES","19901 SW FRWY SUITE #207","SUGAR LAND","TX","77479","2812071272","Proprietary",5/25/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,199,201
"679329","A CARE HOME HEALTH SERVICES","5909 WEST LOOP SOUTH SUITE 570","BELLAIRE","TX","77401","7136658200","Proprietary",8/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",39,45,19,61,62,44,49,39,1,46,0,199
"367660","A CARING ALTERNATIVE INC","1220 HURON ROAD","CLEVELAND","OH","44115","2166646544","Proprietary",9/15/1995 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199,199
"747080","A CARING SOLUTION HOME HEALTH CARE SERVICES LLC","2005 OLD MAY COURT","COLLEGE STATION","TX","77845","9796908399","Proprietary",3/3/2009 0:00:00,"Y","Y","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201,201
"747006","A CARING TOUCH HOME HEALTH SERVICES","395 TILLMAN ROAD","LUFKIN","TX","75901","9366329400","Proprietary",11/13/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,56,3,39,3,199
"679505","A COMPASSIONATE CARE HOME HEALTH SERVICES","4000 S MEDFORD SUITE 17 E","LUFKIN","TX","75901","9366390011","Voluntary Non Profit - Other",7/14/2006 0:00:00,"Y","Y","Y","Y","Y","Y",32,34,29,44,54,67,30,43,28,54,1,199
"107784","A FAMILIAR FACE HOME HEALTH","5899 WHITFIELD AVENUE, SUITE 107","SARASOTA","FL","34243","9413559474","Proprietary",6/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,33,15,60,0,199
"107639","A FAMILIAR FACE HOME HEALTH SERVICES, INC.","3222 17TH STREET","SARASOTA","FL","34235","9413659474","Proprietary",4/13/2001 0:00:00,"Y","Y","Y","Y","Y","Y",72,72,199,82,75,46,199,27,19,70,0,96
"677875","A FRIENDLY HOME HEALTH CARE LLC","3207 SKYLANE DR SUITE 104","CARROLLTON","TX","75006","9722488282","Proprietary",3/21/2006 0:00:00,"Y","Y","Y","Y","Y","Y",28,21,8,21,35,29,26,42,28,48,3,199
"137109","A FULL LIFE HOME CARE","916 IRONWOOD DRIVE SUITE A","COEUR D'ALENE","ID","83814","2087658016","Proprietary",5/11/2006 0:00:00,"Y","Y","Y","Y","N","Y",32,53,46,57,63,39,64,22,23,73,3,82
"679066","A GOOD HOME HEALTH CARE","4814 WEST AVE  SUITE 210","SAN ANTONIO","TX","78216","2107376690","Proprietary",8/6/2001 0:00:00,"Y","Y","Y","Y","Y","Y",42,41,28,87,74,39,59,33,31,68,3,199
"743183","A GOOD HOMEHEALTH","1513 VICEROY DRIVE","DALLAS","TX","75235","2148193868","Proprietary",10/6/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199,199
"457890","A HEALING TOUCH HOME HEALTH","312 W EXPRESSWAY 83","WESLACO","TX","78596","9564471803","Proprietary",9/15/2005 0:00:00,"Y","Y","Y","Y","Y","Y",41,46,31,28,50,29,36,37,34,53,1,199
"679581","A HEALTHY LIVING HOME HEALTH INC","1003 E BUSINESS 83","DONNA","TX","78537","9564616747","Proprietary",11/6/2006 0:00:00,"Y","Y","Y","Y","Y","Y",51,47,37,40,63,45,36,43,23,51,1,199
"107681","A I T HOME HEALTH INC","6238 PRESIDENTIAL CT STE 1A","FORT MYERS","FL","33919","2393371064","Proprietary",12/28/2001 0:00:00,"Y","Y","Y","Y","Y","Y",57,64,69,76,72,59,75,25,22,73,1,89
"368114","A M FRIENDS & FAMILY HEALTHCARE, LLC","2238 SOUTH HAMILTON ROAD, SUITE 100","COLUMBUS","OH","43232","6148663400","Proprietary",10/20/2005 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,48,21,47,3,199
"679140","A MISSION OF HOME HEALTH CARE INC","3455 HIGHLAND RD STE 200","DALLAS","TX","75228","2143279656","Proprietary",6/6/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,36,49,199,33,40,23,57,1,199
"679572","A NEW HOPE HEALTH CARE INC","1902 W GRIFFIN PARKWAY","MISSION","TX","78572","9564243400","Proprietary",10/25/2006 0:00:00,"Y","Y","Y","Y","Y","Y",24,26,16,24,43,16,16,35,27,62,0,199
"459323","A ONE PLUS HOME HEALTH CARE AGENCY LLC","107 NORTH CEDAR RIDGE DRIVE SUITE 112","DUNCANVILLE","TX","75116","9722839499","Proprietary",6/27/1997 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,12,199
"679663","A P HOME HEALTH CARE SERVICES LLC","10190 OLD KATY ROAD SUITE 415","HOUSTON","TX","77043","7134642273","Proprietary",8/22/2007 0:00:00,"Y","Y","Y","Y","Y","Y",40,28,61,72,64,199,48,27,6,70,0,199
"107496","A PHYSICIANS CHOICE HOME HEALTH","1326 MALABAR RD, STE 8","PALM BAY","FL","32907","3217261717","Proprietary",6/16/1995 0:00:00,"Y","Y","Y","N","Y","Y",32,45,59,58,55,39,58,24,18,69,0,81
"107493","A PHYSICIANS CHOICE HOME HEALTH SERVICES","2107 SUNRISE BOULEVARD","FORT PIERCE","FL","34950","7724688686","Proprietary",4/19/1995 0:00:00,"Y","Y","Y","Y","Y","Y",36,40,59,61,66,46,58,26,19,71,0,85
"107520","A PHYSICIANS CHOICE HOME HEALTH SERVICES","5400 SOUTH BISCAYNE DRIVE, STE F","NORTH PORT","FL","34287","9414929009","Proprietary",1/9/1996 0:00:00,"Y","Y","Y","Y","Y","Y",35,63,45,49,59,46,58,33,35,65,2,90
"108343","A PHYSICIANS CHOICE HOME HEALTH SERVICES","8128 US HIGHWAY 1","VERO BEACH","FL","32967","7722865202","Proprietary",8/17/2006 0:00:00,"Y","Y","Y","N","Y","Y",34,53,45,51,68,49,61,23,20,70,0,199
"677545","A PINEYWOODS HOME HEALTH CARE INC","103D CARRIAGE DRIVE","LUFKIN","TX","75904","9366341617","Proprietary",11/12/1992 0:00:00,"Y","Y","Y","Y","Y","Y",41,40,29,49,51,29,40,43,41,54,1,80
"679082","A PLUS FAMILY CARE LLC","5002 WEST AVENUE","SAN ANTONIO","TX","78213","2105309111","Proprietary",10/25/2001 0:00:00,"Y","Y","Y","Y","Y","Y",36,29,42,56,57,30,58,38,27,58,1,87
"108350","A PLUS HOME CARE AGENCY INC","15600 SW 288 STREET, STE 304-B","HOMESTEAD","FL","33033","3052450051","Voluntary Non Profit - Other",9/19/2006 0:00:00,"Y","Y","Y","Y","N","Y",76,60,199,84,85,38,59,20,14,59,0,199
"277017","A PLUS HOME HEALTH","1300 ASPEN ST STE 2","HELENA","MT","59601","4064434140","Proprietary",11/28/1973 0:00:00,"Y","Y","Y","Y","Y","Y",50,56,44,72,69,39,65,26,20,68,1,83
"237552","A PLUS HOME HEALTH CARE","18161 WEST 12 MILE ROAD","LATHRUP VILLAGE","MI","48076","2484430053","Proprietary",2/8/2005 0:00:00,"Y","Y","Y","Y","Y","Y",50,55,61,77,65,41,60,25,16,73,2,199
"108336","A PLUS HOME HEALTH CARE INC","2101 NW 33RD STREET, STE 2900","POMPANO BEACH","FL","33069","9545860770","Proprietary",8/16/2006 0:00:00,"Y","Y","Y","Y","Y","Y",36,19,20,56,51,43,39,24,21,73,2,85
"108101","A PLUS HOME HEALTH CARE INC","1111 HYPOLUXO RD STE 107","LANTANA","FL","33462","5615863400","Proprietary",10/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",47,50,43,66,67,48,53,24,14,72,1,87
"157555","A PLUS HOME HEALTH CARE INCORPORATED","2246-A INDUSTRIAL DR","HIGHLAND","IN","46322","2199238772","Proprietary",5/19/2004 0:00:00,"Y","Y","Y","N","Y","Y",42,43,48,56,80,45,44,38,2,62,1,96
"678381","A PLUS HOME HEALTH SERVICES","900 CHELSEA SUITE #B","EL PASO","TX","79903","9153517312","Proprietary",8/14/1996 0:00:00,"Y","Y","Y","Y","Y","Y",54,58,51,66,70,50,65,28,8,65,1,72
"107598","A R C PROFESSIONAL SERVICES","1414 NW 107TH AVE, STE 102","MIAMI","FL","33172","3054635355","Proprietary",2/24/1999 0:00:00,"Y","Y","N","N","Y","Y",37,32,22,80,48,24,41,36,22,59,2,83
"397799","A SAMUEL'S CHRISTIAN HOME CARE","309 HURON STREET","INDUSTRY","PA","15052","7246434256","Proprietary",3/23/2004 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,30,199,64,5,199
"467242","A STEP FORWARD LLC","8541 REDWOOD ROAD","WEST JORDAN","UT","84088","8015628564","Proprietary",2/28/2008 0:00:00,"Y","Y","Y","Y","Y","Y",37,62,199,63,62,199,199,20,19,77,0,92
"368223","A TO Z HEALTH CARE, INC","955 COMMERCE DRIVE","PERRYSBURG","OH","43551","4198745227","Proprietary",12/9/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,22,199,77,0,199
"059012","A TO Z HOME HEALTH, INC","4500 FORMAN AVENUE, SUITE 2","TOLUCA LAKE","CA","91602","8185093000","Proprietary",11/20/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,8,199
"747062","A TO Z HOME HEALTHCARE LLC","11520 NORTH CENTRAL EXPRESSWAY SUITE 166","DALLAS","TX","75243","2143482869","Proprietary",12/18/2008 0:00:00,"Y","Y","Y","N","Y","N",199,199,199,199,199,199,199,199,199,199,199,199
"459339","A TOUCH HOME HEALTH CARE LTD","3122 CENTER POINTE DRIVE","EDINBURG","TX","78539","9569280167","Proprietary",7/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",37,40,22,55,61,40,27,40,32,57,2,83
"673157","A TOUCH HOME HEALTH CARE P II LTD","6430 CULMORE","HOUSTON","TX","77087","7136457505","Proprietary",3/30/2005 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,50,47,45,4,199
"679539","A TRINITY VALLEY HOME HEALTH AND THERAPY SERVICES","300 S PRAIRIEVILLE","ATHENS","TX","75751","9036773500","Proprietary",8/25/2006 0:00:00,"Y","Y","Y","Y","Y","Y",68,67,89,70,84,62,65,48,40,47,1,199
"679110","A UNIFIED HOME HEALTH AGENCY INC","2033 MILITARY PARKWAY STE 400 D","MESQUITE","TX","75149","9722167311","Proprietary",2/15/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,48,8,44,0,199
"107150","A VISITING REDI-NURSE","1800 FOREST HILL BLVD SUITE B-1","WEST PALM BEACH","FL","33406","5614338800","Proprietary",4/1/1977 0:00:00,"Y","Y","Y","Y","Y","Y",49,57,48,70,67,47,59,26,15,71,1,84
"237695","A Z HOME HEALTH CARE, INC","1481 S CENTER RD, STE B","BURTON","MI","48509","8107427121","Proprietary",6/29/2007 0:00:00,"Y","Y","Y","Y","Y","Y",40,35,33,58,71,56,61,32,34,63,2,199
