ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
017300,AMEDISYS HOME HEALTH OF TUSCALOOSA,"1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320",TUSCALOOSA,AL,35406,2057520606,PROPRIETARY,9/17/1976,Y,Y,Y,Y,Y,Y,92,96,100,100,82,86,93,100,98,100,94,98,100,65,51,72,65,63,86,58,9,28
017305,AMEDISYS HOME HEALTH OF ANNISTON,"171 TOWN CENTER DR, SUITE MPS-4",ANNISTON,AL,36205,2568359099,PROPRIETARY,9/20/1979,Y,Y,Y,Y,Y,Y,92,90,95,100,66,64,90,100,97,95,92,97,100,61,50,67,64,63,90,55,10,28
017307,GENTIVA HEALTH SERVICES,"5009 RIVER CHASE DRIVE, BLDG 100, SUITE C",PHENIX CITY,AL,36867,3342976900,PROPRIETARY,5/4/1982,Y,Y,Y,Y,Y,Y,78,97,99,100,55,55,93,100,100,199,93,98,99,63,74,75,76,73,88,63,11,27
017319,AMEDISYS HOME HEALTH OF MONTGOMERY,"300 INTERSTATE PARK DRIVE, SUITE 324",MONTGOMERY,AL,36109,3342720313,PROPRIETARY,2/1/1994,Y,Y,Y,Y,Y,Y,88,94,99,100,59,49,97,100,100,100,96,96,100,56,52,65,64,73,93,51,10,27
017320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,AL,36701,3348752550,PROPRIETARY,10/31/1991,Y,Y,Y,Y,N,Y,91,93,97,100,52,44,97,100,94,98,96,98,100,63,51,69,65,61,92,52,10,23
017323,MONROE CO HOSP PROGRESSIVE HOM,DR WOODROW EDDINS MED DR-P.O. 886,MONROEVILLE,AL,36461,2517437328,GOVERNMENT - STATE/COUNTY,3/6/1995,Y,Y,Y,N,N,Y,95,94,100,99,68,70,97,90,100,100,100,100,98,53,49,56,50,63,87,53,18,47
017008,JEFFERSON COUNTY HOME CARE,"530 BEACON PARKWAY WEST,  SUITE 300",BIRMINGHAM,AL,35209,2059169500,GOVERNMENT - STATE/COUNTY,10/1/1972,Y,Y,Y,Y,Y,Y,100,97,67,98,58,62,98,97,99,199,99,99,100,58,48,55,75,62,88,30,11,38
017009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,2058242680,PROPRIETARY,1/18/1973,Y,Y,Y,Y,Y,Y,94,93,78,97,61,58,92,99,97,96,95,98,99,58,50,66,58,62,92,52,11,34
017013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,3343470234,PROPRIETARY,7/24/1975,Y,Y,Y,N,N,Y,93,93,99,98,52,56,82,99,95,100,91,89,99,58,49,72,52,75,91,50,13,30
017014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,2052744919,PROPRIETARY,9/4/1975,Y,Y,Y,Y,Y,Y,88,93,100,100,88,74,89,100,95,199,92,96,100,65,52,73,66,74,91,63,11,26
017016,SOUTHEAST ALABAMA HOMECARE,"806 GLOVER AVENUE, SUITE A",ENTERPRISE,AL,36330,3347940591,PROPRIETARY,6/9/1976,Y,Y,Y,Y,N,Y,93,91,94,93,65,63,96,100,99,97,94,90,94,56,48,67,54,46,90,52,15,28
017017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,AL,35653,2563321631,VOLUNTARY NON-PROFIT - PRIVATE,3/26/1977,Y,Y,Y,Y,Y,Y,90,92,100,100,55,48,72,100,87,95,59,99,100,62,37,58,49,44,94,41,12,30
017018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,AL,35906,2564421138,PROPRIETARY,1/1/1977,Y,Y,Y,Y,Y,Y,90,86,98,98,72,76,76,100,93,95,92,96,99,69,62,74,70,69,91,52,11,24
017020,AMEDISYS HEALTH CARE,"273 AZALEA ROAD, SUITE 104, BLDG 2",MOBILE,AL,36609,2513800492,PROPRIETARY,5/23/1977,Y,Y,Y,Y,Y,Y,93,95,100,100,49,51,93,100,99,100,97,95,100,56,47,63,57,68,93,52,11,32
017024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,3347940591,PROPRIETARY,6/1/1978,Y,Y,Y,Y,Y,Y,100,89,81,94,65,67,98,100,99,100,98,98,98,64,50,66,61,62,97,52,14,31
017025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2513439600,PROPRIETARY,12/28/1978,Y,Y,Y,Y,Y,Y,86,94,99,88,55,54,86,98,98,95,88,78,98,62,51,73,68,70,97,56,10,37
017026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,2057397800,PROPRIETARY,3/29/1979,Y,Y,Y,Y,Y,Y,92,91,90,98,67,66,93,100,98,96,91,98,99,61,62,70,77,76,94,54,9,28
017027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,2563504182,PROPRIETARY,7/25/1979,Y,Y,Y,Y,Y,Y,94,89,86,96,38,38,92,100,94,100,88,95,99,60,52,68,62,57,96,50,12,32
017028,CARETENDERS,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,2057837900,PROPRIETARY,6/1/1979,Y,Y,Y,Y,Y,Y,71,81,99,99,51,48,88,99,95,96,93,98,98,50,39,57,55,53,88,47,11,27
017033,ST VINCENT'S EAST HOME HEALTH,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,AL,35242,2053132800,PROPRIETARY,10/24/1979,Y,Y,Y,Y,Y,Y,68,96,98,87,80,61,83,99,92,199,73,97,99,73,44,76,58,52,199,47,10,40
017034,MERCY MEDICAL HOME HEALTH,101 VILLA DRIVE,DAPHNE,AL,36526,2516214431,VOLUNTARY NON-PROFIT - CHURCH,5/26/1981,Y,Y,Y,Y,Y,Y,94,91,100,99,60,59,89,99,98,100,97,99,99,60,55,69,72,62,91,51,9,26
017035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,2514503300,PROPRIETARY,8/20/1981,Y,Y,Y,Y,Y,Y,97,91,76,97,46,44,92,99,99,98,90,91,99,66,58,77,75,67,90,61,7,26
017037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,3343955100,PROPRIETARY,10/1/1981,Y,Y,Y,Y,Y,Y,82,98,86,81,73,65,97,99,100,94,99,96,100,59,50,65,68,60,92,59,9,30
017039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"7047 OLD MADISON PIKE, SUITE 305",HUNTSVILLE,AL,35806,2569229919,PROPRIETARY,8/5/1982,Y,Y,Y,Y,Y,Y,92,95,100,100,66,58,92,100,99,99,98,96,100,63,49,67,76,66,92,55,14,26
017041,ABLE HOMECARE OF BIRMINGHAM,"2090 COLUMBIANA ROAD, SUITE 1950",BIRMINGHAM,AL,35216,2059793180,PROPRIETARY,8/4/1982,Y,Y,Y,N,Y,Y,90,82,85,91,83,72,75,100,92,199,81,85,99,61,42,70,79,63,199,56,11,32
017048,GENTIVA HEALTH SERVICES,1800 HIGHWAY 84 WEST,OPP,AL,36467,3344934555,PROPRIETARY,12/8/1983,Y,Y,Y,Y,N,Y,92,96,99,97,70,69,88,100,98,97,93,96,100,59,54,69,60,62,92,52,16,32
017050,SPECTRUM HOME HEALTH AGENCY,"3125 UNIVERSITY DRIVE, SUITE C",HUNTSVILLE,AL,35816,2565394457,PROPRIETARY,10/19/1983,Y,Y,Y,N,Y,Y,94,92,98,99,90,86,100,99,100,199,199,98,94,60,43,69,67,67,100,47,7,32
017051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,2058680147,PROPRIETARY,6/1/1984,Y,Y,Y,Y,Y,Y,87,89,100,100,70,66,95,100,100,96,98,100,100,56,48,68,70,77,91,52,9,29
017052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519433002,PROPRIETARY,9/20/1984,Y,Y,Y,Y,Y,Y,70,82,98,97,56,44,89,100,99,199,98,96,100,57,54,71,64,73,84,56,10,27
017053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,3347935758,PROPRIETARY,8/20/1984,Y,Y,Y,Y,Y,Y,91,95,95,97,45,49,96,99,100,98,97,98,100,64,63,73,63,66,90,55,12,26
017054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,2058360777,PROPRIETARY,9/4/1984,Y,Y,Y,Y,Y,Y,89,95,88,99,72,72,87,99,98,98,94,97,99,62,54,70,69,71,88,58,12,27
