"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Skilled Nursing Care","Physical Therapy","Occupational Therapy","Speech Pathology","Medical Social","Home Health Aide","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends"
"459323","A ONE PLUS HOME HEALTH CARE AGENCY LLC","107 NORTH CEDAR RIDGE DRIVE SUITE 112","DUNCANVILLE","TX","75116","9722839499","Proprietary",6/27/1997 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,31,32,63
"677545","A PINEYWOODS HOME HEALTH CARE INC","103D CARRIAGE DRIVE","LUFKIN","TX","75904","9366341617","Proprietary",11/12/1992 0:00:00,"Y","Y","Y","Y","Y","Y",33,40,30,50,52,40,37,49,40,47
"679082","A PLUS FAMILY CARE LLC","6323 SOVEREIGN RD SUITE 172B","SAN ANTONIO","TX","78229","2105309111","Voluntary Non Profit - Other",10/25/2001 0:00:00,"Y","Y","Y","Y","Y","Y",34,46,41,57,60,43,51,29,6,67
"237552","A PLUS HOME HEALTH CARE","18161WEST 12 MILE ROAD","LATHRUP VILLAGE","MI","48076","2484430053","Proprietary",2/8/2005 0:00:00,"Y","Y","Y","Y","Y","Y",31,38,199,65,56,199,43,37,30,58
"108101","A PLUS HOME HEALTH CARE INC","14000 MILITARY TRAIL, STE 204-D","DELRAY BEACH","FL","33484","5619210801","Proprietary",10/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",42,59,58,62,65,44,67,24,11,70
"459477","1ST CARE HOME HEALTH EL PASO","5862 CROMO SUITE 202","EL PASO","TX","79912","9155870074","Proprietary",11/3/1999 0:00:00,"Y","Y","N","N","N","N",15,16,199,11,10,5,16,17,12,76
"677789","1ST CHOICE HOME HEALTH","101 KINGS PLAZA SUITE H","COMMERCE","TX","75428","9038862666","Proprietary",3/3/1994 0:00:00,"Y","Y","Y","Y","Y","Y",32,58,35,56,54,41,51,49,36,48
"027020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","AK","99669","9072605959","Proprietary",1/2/1996 0:00:00,"Y","Y","Y","Y","Y","Y",35,52,22,48,62,33,57,25,21,75
"107766","1ST CHOICE HOME HEALTH INC","2708 FRUITVILLE ROAD","SARASOTA","FL","34237","8665334778","Proprietary",4/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",33,53,66,64,71,15,67,12,19,80
"459493","1ST MELLINIUM HOME HEALTH SERVICES INC","2730 N STEMMONS FREEWAY STE 706","DALLAS","TX","75207","2149461122","Proprietary",6/23/2000 0:00:00,"Y","Y","Y","Y","Y","Y",31,24,26,73,70,53,48,48,31,43
"679027","1ST TEXAS HOME HEALTH","2012 KELL BOULEVARD","WICHITA FALLS","TX","76301","9407639500","Proprietary",3/14/2001 0:00:00,"Y","Y","Y","Y","Y","Y",35,57,54,53,71,47,57,32,12,57
"679029","1ST TEXAS HOME HEALTH","324 MEYER","SEALY","TX","77474","9798770900","Proprietary",3/21/2001 0:00:00,"Y","Y","Y","N","Y","Y",30,56,53,51,56,33,54,43,12,50
"458193","1ST TEXAS HOME HEALTH INC","101 EAST MAIN","WHITESBORO","TX","76273","9035649111","Proprietary",10/5/1994 0:00:00,"Y","Y","Y","Y","Y","Y",42,55,74,60,64,31,59,48,36,44
"377614","21ST CENTURY HOME HEALTH","1421 NORTHWEST 150TH STREET","EDMOND","OK","73013","4053483459","Proprietary",9/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",26,24,23,33,58,40,23,50,42,43
"377672","3 D HEALTH CARE, INC","205 WEST MAIN","WILBURTON","OK","74578","9184659001","Proprietary",8/5/2004 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,59,6,40
"679422","3M HEALTHCARE SERVICES","7457 HARWIN DRIVE SUITE 200","HOUSTON","TX","77036","7135540806","Proprietary",1/29/2004 0:00:00,"Y","Y","Y","Y","Y","Y",35,43,17,61,57,35,49,26,27,66
"147766","5 STAR HEALTHCARE, INC","8001 N LINCOLN AVENUE, STE 702","SKOKIE","IL","60077","8476773905","Proprietary",4/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",34,40,48,71,65,45,55,30,14,61
"237186","A   D HEALTH CARE PROFESSIONAL","3150 ENTERPRISE","SAGINAW","MI","48603","9892490929","Proprietary",1/22/1986 0:00:00,"Y","Y","Y","Y","Y","Y",40,48,64,62,59,35,63,32,26,65
"108095","A & A HEALTH SERVICES INC","1140  WEST 50TH STREET, SUITE 200A","HIALEAH","FL","33012","3058252112","Proprietary",9/2/2004 0:00:00,"Y","N","N","N","N","Y",25,31,33,81,45,31,34,15,14,87
"678144","A & A HOME HEALTH SERVICES","7100 REGENCY SQUARE  SUITE 262","HOUSTON","TX","77036","7137838803","Proprietary",2/26/1996 0:00:00,"Y","Y","Y","Y","Y","Y",33,37,22,43,62,45,43,48,25,49
"108001","A & A HOMECARE, INC","211 NORTH HIGHWAY 71","WEWAHITCHKA","FL","32465","8502273331","Proprietary",11/7/2003 0:00:00,"Y","Y","Y","Y","N","Y",31,43,54,53,70,41,60,40,39,52
"107759","A & A MEDICAL SERVICES, INC.","4501 PALM AVENUE, STE 101-102","HIALEAH","FL","33012","3055568799","Proprietary",1/29/2003 0:00:00,"Y","Y","N","N","Y","Y",36,38,26,68,58,41,61,18,5,80
"457892","A & B HOME HEALTH CARE INC","839 IH 35 SOUTH STE K","NEW BRAUNFELS","TX","78130","8306254837","Proprietary",9/22/2005 0:00:00,"Y","Y","Y","Y","Y","N",201,201,201,201,201,201,201,201,201,201
"108075","A & B HOME HEALTH INC","4431 DAVIE ROAD, SUITE 119","DAVIE","FL","33314","9543218681","Proprietary",7/15/2004 0:00:00,"Y","Y","Y","Y","Y","Y",38,42,199,67,60,37,56,27,30,67
"679451","A & C HEALTH SERVICES","10101 FONDREN ROAD SUITE 220A","HOUSTON","TX","77096","7137718570","Proprietary",3/17/2004 0:00:00,"Y","Y","Y","Y","Y","Y",19,14,59,62,61,22,16,32,28,67
"679395","A & C HEALTH SERVICES INC","5805 CALLAGHAN ROAD SUITE 102","SAN ANTONIO","TX","78228","2105205335","Proprietary",12/19/2003 0:00:00,"Y","Y","Y","Y","Y","Y",45,51,199,53,70,199,49,22,23,80
"679333","A & G PERSONAL PROVIDER SERVICES","318 WATERFRONT DRIVE","SEABROOK","TX","77586","2814742277","Proprietary",9/4/2003 0:00:00,"Y","N","N","N","N","Y",41,47,199,49,65,199,199,46,40,50
"467200","A - PLUS HOME CARE","1443 NORTH 1200 WEST","OREM","UT","84057","8012250990","Proprietary",2/1/2001 0:00:00,"Y","Y","Y","Y","Y","Y",36,69,47,57,59,29,66,32,26,60
"367603","A 1 ASSOCIATED NURSES INC","1298 ASHLAND ROAD","MANSFIELD","OH","44905","4195892776","Proprietary",11/1/1994 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"679326","A 1 HOME CARE","535 WEST PURNELL SUITE 150","LEWISVILLE","TX","75057","9722211072","Proprietary",8/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",54,63,63,84,81,69,73,45,50,46
"147592","A 1 HOME HEALTH CARE  INC.","3335  WEST 95TH STREET","EVERGREEN PARK","IL","60805","7082290025","Proprietary",11/23/1994 0:00:00,"Y","Y","Y","Y","Y","Y",17,25,25,49,54,9,27,36,12,62
"367193","A 1 NURSING CARE INC","1855 EAST DUBLIN GRANVILLE ROAD, SUITE 204","COLUMBUS","OH","43229","6148475820","Proprietary",7/16/1982 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199
"157555","A PLUS HOME HEALTH CARE INC","8141 KENNEDY AVE SUITE 2","HIGHLAND","IN","46322","2199238772","Proprietary",5/19/2004 0:00:00,"Y","Y","Y","Y","Y","Y",30,43,65,77,73,43,83,46,42,49
"678381","A PLUS HOME HEALTH SERVICES","900 CHELSEA SUITE #B","EL PASO","TX","79903","9153517312","Proprietary",8/14/1996 0:00:00,"Y","Y","Y","Y","Y","Y",34,36,62,58,54,40,59,34,8,60
"557420","A PLUS HOME HEALTH SPECIALISTS","1000 LAKES DRIVE STE 230","WEST COVINA","CA","91790","6269189905","Proprietary",7/18/1994 0:00:00,"Y","Y","Y","Y","Y","Y",70,72,33,95,95,87,92,10,14,89
"107644","A S A HOME CARE SVCS INC","8700 WEST FLAGLER STREET, SUITE 110","MIAMI","FL","33174","3054476516","Proprietary",5/9/2001 0:00:00,"Y","Y","Y","Y","Y","Y",24,35,38,67,50,40,40,29,16,68
"459339","A TOUCH HOME HEALTH CARE LTD","3122 CENTER POINTE DRIVE","EDINBURG","TX","78539","9569280167","Proprietary",7/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",42,45,31,57,74,44,42,26,16,69
"673157","A TOUCH HOME HEALTH CARE P II LTD","6430 CULMORE","HOUSTON","TX","77087","7136457505","Proprietary",3/30/2005 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"679110","A UNIFIED HOME HEALTH AGENCY INC","2033 MILITARY PARKWAY STE 400 D","MESQUITE","TX","75149","9722167311","Proprietary",2/15/2002 0:00:00,"Y","Y","Y","Y","Y","Y",74,64,199,95,89,80,77,37,12,54
"108082","A VISITING REDI-NURSE","839 BARTON BLVD, SUITE C","ROCKLEDGE","FL","32955","3215760351","Proprietary",8/6/2004 0:00:00,"Y","Y","Y","Y","Y","Y",33,57,50,63,58,40,56,25,28,70
"107150","A VISITING REDI-NURSE","1800 FOREST HILL BLVD SUITE B-1","WEST PALM BEACH","FL","33406","5614338800","Proprietary",4/1/1977 0:00:00,"Y","Y","Y","Y","Y","Y",37,50,55,71,63,42,67,23,16,74
"147643","A+ HEALTHCARE","890 43RD AVENUE","MOLINE","IL","61265","3097628181","Proprietary",10/10/1996 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"107645","A+ HEALTHCARE SPECIALISTS","255 SE HWY 19, STE 1","CRYSTAL RIVER","FL","34429","3525642700","Proprietary",4/28/1999 0:00:00,"Y","Y","Y","Y","Y","Y",35,49,31,73,59,39,55,22,24,72
"107646","A+ HEALTHCARE SPECIALISTS","3300 SW 34TH AVENUE, UNIT 104","OCALA","FL","34474","3528614931","Proprietary",9/6/2000 0:00:00,"Y","Y","Y","Y","Y","Y",39,65,65,62,63,47,67,27,18,67
"237551","A-1 INTERNATIONAL HOMECARE, INC","42217 EAST ANN ARBOR ROAD","PLYMOUTH","MI","48170","7344593758","Proprietary",2/10/2005 0:00:00,"Y","Y","Y","Y","Y","Y",32,44,38,60,62,36,44,29,35,70
"197606","A-1 NURSING REGISTRY, INC.","515 A VEROT SCHOOL ROAD","LAFAYETTE","LA","70508","3372375570","Proprietary",9/27/1993 0:00:00,"Y","Y","Y","Y","Y","Y",45,38,42,61,66,49,53,33,15,65
"108187","AA ADVANCED CARE INC","13501 SW 128 STREET, SUITE 207","MIAMI","FL","33186","3052744553","Proprietary",7/26/2005 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"197403","AAA HOME HEALTH AGENCY","2111 HWY 14","NEW IBERIA","LA","70560","3373670940","Proprietary",4/23/1991 0:00:00,"Y","Y","Y","Y","Y","Y",45,53,67,58,66,28,71,41,34,50
"679458","AAA HOME HEALTH CARE AGENCY","8500 STEMMONS SUITE 2080","DALLAS","TX","75247","2146370073","Proprietary",4/1/2004 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"108015","AAA HOME HEALTH SERVICES, INC","1800 SW 27TH AVENUE, SUITE 204","MIAMI","FL","33145","3054611997","Proprietary",11/24/2003 0:00:00,"Y","Y","N","N","N","Y",19,12,5,36,20,25,17,23,27,75
"157525","AAA HOOSIER HOME HEALTH CARE SPECIALISTS INC","5241 FOUNTAIN DR, SUITE D","CROWN POINT","IN","46307","2197362996","Proprietary",9/8/1998 0:00:00,"Y","Y","Y","Y","Y","Y",38,39,23,45,39,25,28,54,54,33
"047308","AAA SOUTHEAST AR ASHLEY CO","208 ALABAMA","CROSSETT","AR","71635","8703647788","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047307","AAA SOUTHEAST AR CHICOT CO","310 MAIN STREET","LAKE VILLAGE","AR","71653","8702653841","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047309","AAA SOUTHEAST AR CLEVELAND CO","201 MAIN STREET","RISON","AR","71665","8703257455","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,39,27,56
"047306","AAA SOUTHEAST AR DREW CO","110 EAST GAINS","MONTICELLO","AR","71657","8703679873","Voluntary Non Profit - Other",1/7/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047313","AAA SOUTHEAST AR GRANT CO","2071 HIGHWAY 167 SOUTH","SHERIDAN","AR","72150","8709424842","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199
"047030","AAA SOUTHEAST AR JEFFERSON CO","709 EAST EIGHTH AVE","PINE BLUFF","AR","71611","8705436300","Voluntary Non Profit - Private",1/5/1982 0:00:00,"Y","Y","N","N","N","Y",35,40,199,199,45,199,32,24,27,71
"047310","AAA SOUTHEAST AR LINCOLN CO","700 SOUTH LINCOLN","STAR CITY","AR","71667","8706285147","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","N","N","N","Y",25,199,199,17,38,199,199,32,18,63
"047315","AAA SOUTHEAST AR, INC- ARKANSAS CO","2116 SOUTH BUERKLE, SUITE A","STUTTGART","AR","72160","8706737146","Voluntary Non Profit - Private",9/2/1982 0:00:00,"Y","Y","N","N","N","Y",27,40,199,199,53,199,199,49,27,44
"047314","AAA SOUTHEAST BRADLEY CO","110 EAST CEDAR STREET","WARREN","AR","71671","8702265769","Voluntary Non Profit - Private",8/19/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047158","AAA WESTERN AR FRANKLIN CO","317 WEST COMMERCIAL","OZARK","AR","72949","4796674870","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","N","Y",43,63,48,57,71,57,51,23,28,73
"047156","AAA WESTERN AR LOGAN CO","333 SOUTH FIRST STREET","PARIS","AR","72855","4799636868","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","Y","Y",35,37,46,43,59,48,42,31,31,63
"047162","AAA WESTERN AR POLK CO","600 SEVENTH STREET","MENA","AR","71953","4793945458","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","Y","Y",22,30,199,199,61,199,66,23,25,76
"047157","AAA WESTERN AR SCOTT CO","1325 CLYDE HAWKINS DRIVE","WALDRON","AR","72958","4796374795","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","N","N","N","Y",57,71,54,85,79,199,77,13,17,88
"047034","AAA WESTERN AR SEBASTIAN CO","524 GARRISON AVENUE","FORT SMITH","AR","72902","4797835550","Voluntary Non Profit - Other",1/19/1982 0:00:00,"Y","Y","N","N","N","Y",32,46,43,49,54,34,59,24,22,73
"107610","AACTION HOME HEALTH CARE","1671 WEST 37 STREET, SUITE 4","HIALEAH","FL","33012","3053624594","Proprietary",2/15/2000 0:00:00,"Y","Y","Y","Y","Y","Y",37,62,54,90,75,61,79,12,17,85
"673168","AARON HOME HEALTH CARE SERVICES INC","4575 S WESTMORELAND ROAD","DALLAS","TX","75237","2144673880","Proprietary",3/22/2005 0:00:00,"Y","Y","N","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"147692","ABBEY ST. CLAIRE QUALITY CARE","3415 N ODELL AVENUE","CHICAGO","IL","60634","7738369306","Proprietary",9/15/1997 0:00:00,"Y","Y","Y","Y","Y","Y",36,48,199,92,64,64,61,12,16,81
"673171","ABBI HOME CARE INC","5608 MALVEY AVENUE  SUITE 304","FORT WORTH","TX","76107","8173770889","Voluntary Non Profit - Other",4/1/2005 0:00:00,"Y","Y","N","N","N","N",201,201,201,201,201,201,201,201,201,201
"679344","ABBIE HEALTH CARE INC","4423 NW LOOP 410 SUITE 102","SAN ANTONIO","TX","78229","2103417800","Proprietary",9/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",37,50,57,73,67,49,66,32,24,62
"237536","ABBORE CARE, INC","16250 NORTHLAND DR, #204","SOUTHFIELD","MI","48075","2485691040","Proprietary",9/24/2004 0:00:00,"Y","Y","Y","Y","Y","Y",27,20,199,52,42,199,44,28,36,63
"368014","ABBOTT HOME CARE, INC","209 MARION PIKE","COAL GROVE","OH","45638","7405349908","Proprietary",3/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",26,35,32,39,43,21,28,63,35,35
"397255","ABBY HEALTH CARE INC","287 EDISON STREET","UNIONTOWN","PA","15401","7244398330","Proprietary",7/6/1984 0:00:00,"Y","Y","Y","Y","Y","Y",29,31,199,54,57,40,26,27,28,73
"679129","ABBY HOME HEALTH","1401 WEST WHEELER","ARANSAS PASS","TX","78336","3617589336","Proprietary",4/26/2002 0:00:00,"Y","Y","Y","Y","Y","Y",27,23,9,26,44,28,23,40,36,51
"367519","ABC HEALTH CARE INC","1605 HOLLAND ROAD, SUITE A1","MAUMEE","OH","43537","4198939700","Proprietary",5/5/1993 0:00:00,"Y","Y","Y","Y","N","Y",31,45,45,54,56,42,54,35,35,60
"367796","ABC HOME CARE AND NURSING SERVICES","2021 EAST DUBLIN-GRANVILLE RD, SUITE 248","COLUMBUS","OH","43229","6148823320","Proprietary",7/24/2002 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"108147","ABC HOME HEALTHCARE, INC","15715 SOUTH DIXIE HWY, STE 304","MIAMI","FL","33157","3052549316","Proprietary",3/22/2005 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"459054","ABICARE HOME HEALTH LLC","2964 LBJ FREEWAY SUITE 301","DALLAS","TX","75234","9722412419","Proprietary",1/3/1997 0:00:00,"Y","Y","Y","Y","Y","Y",55,44,62,80,80,62,81,25,25,70
"197431","ABIDE HOME CARE SERVICES, INC","185 BELLE TERRE BLVD, STE B","LA PLACE","LA","70068","9853594101","Proprietary",1/2/1992 0:00:00,"Y","Y","Y","Y","Y","Y",68,72,15,11,60,52,5,53,53,40
"679145","ABIDING HOME HEALTH LLC","15102 JONES MALTSBERGER #101","SAN ANTONIO","TX","78247","2104030901","Proprietary",6/27/2002 0:00:00,"Y","Y","Y","Y","Y","Y",41,37,50,71,56,50,55,40,19,49
"457564","ABILENE HOME HEALTH PROFESSIONAL CARE INC","265 SOUTH LEGGETT DRIVE SUITE 1","ABILENE","TX","79605","3256729454","Proprietary",2/20/1984 0:00:00,"Y","Y","N","N","N","Y",58,50,37,56,77,43,47,17,5,80
"397145","ABINGTON MEMORIAL HOSPITAL  HOME CARE","2510 MARYLAND ROAD SUITE 250","WILLOW GROVE","PA","19090","2154815800","Voluntary Non Profit - Other",9/9/1980 0:00:00,"Y","Y","Y","Y","Y","Y",41,57,61,65,68,46,67,25,24,75
"067429","ABLE CARE HOME HEALTH","1450 S HAVANA ST #803","AURORA","CO","80012","3035770177","Proprietary",3/17/2003 0:00:00,"Y","Y","Y","Y","N","Y",31,199,199,58,55,199,26,17,14,78
"337281","ABLE HEALTH CARE SVS INC CHHA","25 NEWBRIDGE RD, SUITE 415","HICKSVILLE","NY","11801","5165468000","Proprietary",3/29/1991 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,58,38,40
"679412","ABLE HOME HEALTH","910 COLLIER STREET SUITE 219","FORT WORTH","TX","76102","8173328855","Proprietary",1/16/2004 0:00:00,"Y","Y","Y","Y","Y","Y",50,60,42,61,70,42,62,26,9,69
"017041","ABLE HOME HEALTH INC","1088 9TH AVENUE, S W","BESSEMER","AL","35022","2054286322","Proprietary",8/4/1982 0:00:00,"Y","Y","Y","Y","Y","Y",38,58,45,62,59,34,54,30,20,67
"147734","ABLE HOME HEALTH, LLC","4249 E STATE ST #205","ROCKFORD","IL","61108","8153992600","Proprietary",2/24/2003 0:00:00,"Y","Y","Y","Y","Y","Y",41,65,54,64,66,46,60,23,30,73
"368039","ABLE SUPPORT SERVICES, INC","2021 EAST DUBLIN GRANVILLE ROAD, SUITE 250","COLUMBUS","OH","43229","6144363791","Proprietary",12/10/2003 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,63,61,33
"457810","ABLECARE HEALTHCARE SERVICES","703 ST ERIC DRIVE","MANSFIELD","TX","76063","8174772529","Proprietary",4/18/2005 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"679261","ABLECARE HOME HEALTH LLC","414 E LOOP 281 SUITE 18","LONGVIEW","TX","75605","9032360020","Proprietary",4/18/2003 0:00:00,"Y","Y","Y","Y","Y","Y",18,26,14,34,37,199,46,46,12,50
"167299","ABOVE AND BEYOND HOME HEALTH CARE","112 E 1ST STREET","MONTICELLO","IA","52310","3194653059","Proprietary",3/25/2005 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201
"227478","ABP BEST HOME CARE AGENCY, INC","17 HENSHAW STREET","BRIGHTON","MA","02135","6177798400","Proprietary",5/10/2004 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,28,12,65
"327192","ABRAZO HOME HEALTH, LLC","1155 SOUTH TELSHOR BLVD, SUITE 302A","LAS CRUCES","NM","88001","5055227441","Proprietary",1/5/2005 0:00:00,"Y","Y","N","N","Y","N",35,67,199,35,60,199,45,23,23,71
"679228","ABSOLUTE BEST CARE HOME HEALTH","1400 WEST SAM HOUSTON PARKWAY NORTH #250","HOUSTON","TX","77043","7134676744","Proprietary",2/28/2003 0:00:00,"Y","Y","Y","Y","Y","Y",23,30,199,20,32,199,32,43,21,54
"459481","ABSOLUTE HOME CARE","1200 EAST FM 2410","HARKER HEIGHTS","TX","76548","2546982998","Proprietary",2/10/2000 0:00:00,"Y","Y","N","N","N","Y",27,67,199,66,65,199,62,46,35,47
"108107","ABSOLUTE HOME CARE INC","8000 NORTH UNIVERSITY DRIVE","TAMARAC","FL","33321","9547266556","Proprietary",10/18/2004 0:00:00,"Y","Y","Y","Y","Y","Y",33,59,43,52,64,36,52,17,17,78
"673145","ABSOLUTE HOME CARE OF EL PASO INC","2211 E MISSOURI SUITE E 241","EL PASO","TX","79903","9158388960","Proprietary",2/24/2005 0:00:00,"Y","Y","Y","Y","Y","Y",42,48,23,61,56,25,199,44,8,53
"178044","ABSOLUTE HOME HEALTH CARE","9415 E HARRY SUITES 204 AND 205","WICHITA","KS","67207","3168321347","Proprietary",8/18/1997 0:00:00,"Y","Y","Y","Y","Y","Y",39,65,58,56,72,31,61,58,53,39
"107783","ABSOLUTE HOME HEALTHCARE","1000 W EMMETT STREET, SUITE 202","KISSIMMEE","FL","34741","4078709336","Proprietary",5/23/2003 0:00:00,"Y","Y","Y","Y","Y","Y",35,52,79,61,62,41,46,28,27,66
"368068","ABSOLUTE NURSING CARE","5082 WARRENSVILLE CENTER ROAD","MAPLE HEIGHTS","OH","44137","2164752047","Proprietary",9/28/2004 0:00:00,"Y","Y","Y","Y","Y","Y",46,40,199,46,43,21,40,24,20,71
