ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
017026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,2057397800,PROPRIETARY,3/29/1979,Y,Y,Y,Y,Y,Y,89,82,87,95,69,65,85,99,95,87,75,95,96,55,54,67,72,79,84,201,45,201,26
017027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,2563504182,PROPRIETARY,7/25/1979,Y,Y,Y,Y,Y,Y,94,82,86,97,38,35,87,100,96,100,87,93,97,57,51,67,58,48,94,201,49,201,31
017028,CARETENDERS,420 10TH STREET SW,BIRMINGHAM,AL,35211,2057837900,PROPRIETARY,6/1/1979,Y,Y,Y,Y,Y,Y,70,83,99,100,57,60,84,99,95,100,93,98,98,47,39,58,56,59,93,201,42,201,32
017033,ST VINCENT'S EAST HOME HEALTH,"1400 URBAN CENTER DRIVE, SUITE 240",HOOVER,AL,35242,2058385795,PROPRIETARY,10/24/1979,Y,Y,Y,Y,Y,Y,47,96,94,97,65,54,84,100,93,199,199,100,100,49,36,74,61,64,199,201,40,201,33
017034,MERCY MEDICAL HOME HEALTH,101 VILLA DRIVE,DAPHNE,AL,36526,2516214431,VOLUNTARY NON-PROFIT - CHURCH,5/26/1981,Y,Y,Y,Y,Y,Y,92,80,99,98,69,63,82,99,98,98,94,98,99,56,55,69,70,62,92,201,47,201,23
017035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,2514503300,PROPRIETARY,8/20/1981,Y,Y,Y,Y,Y,Y,97,85,75,98,51,43,89,99,97,100,96,91,97,61,53,74,68,55,89,201,52,201,28
017037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,3343955100,PROPRIETARY,10/1/1981,Y,Y,Y,Y,Y,Y,85,96,88,96,65,59,87,99,87,100,90,92,99,49,42,57,71,61,88,201,47,201,32
017039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"7047 OLD MADISON PIKE, SUITE 305",HUNTSVILLE,AL,35806,2569229919,PROPRIETARY,8/5/1982,Y,Y,Y,Y,N,Y,89,82,100,100,74,65,85,100,98,99,88,94,100,59,48,69,71,62,93,201,54,201,27
017041,ABLE HOMECARE OF BIRMINGHAM,"2090 COLUMBIANA ROAD, SUITE 1950",BIRMINGHAM,AL,35216,2059793180,PROPRIETARY,8/4/1982,Y,Y,Y,N,Y,Y,82,85,81,96,67,70,88,99,99,199,90,98,98,58,48,67,56,61,199,201,51,201,31
017048,GENTIVA HEALTH SERVICES,1800 HIGHWAY 84 WEST,OPP,AL,36467,3344934555,PROPRIETARY,12/8/1983,Y,Y,Y,Y,Y,Y,86,89,94,96,60,59,79,99,93,91,78,90,98,56,58,67,75,70,92,201,49,201,35
017050,SPECTRUM HOME HEALTH AGENCY,"3125 UNIVERSITY DRIVE SUITE C,",HUNTSVILLE,AL,35816,2565394457,PROPRIETARY,10/19/1983,Y,Y,Y,N,N,Y,94,99,99,99,82,67,88,100,98,199,100,100,96,53,44,59,63,62,94,201,44,201,34
017051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,2058680147,PROPRIETARY,6/1/1984,Y,Y,Y,Y,Y,Y,90,87,100,100,68,71,95,100,99,100,98,99,100,52,45,66,67,74,89,201,50,201,26
017052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519433002,PROPRIETARY,9/20/1984,Y,Y,Y,Y,Y,Y,79,80,92,77,40,31,91,96,99,199,85,95,88,57,60,74,65,75,93,201,54,201,30
017053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,3347935758,PROPRIETARY,8/20/1984,Y,Y,Y,Y,Y,Y,90,90,98,96,50,50,95,99,99,94,94,98,100,64,63,75,66,68,91,201,56,201,25
017054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,2058360777,PROPRIETARY,9/4/1984,Y,Y,Y,Y,Y,Y,88,87,64,93,63,53,75,99,91,96,77,92,96,49,51,63,70,70,85,201,52,201,25
017055,GENTIVA HEALTH SERVICES,1294-A EAST MAIN STREET,PRATTVILLE,AL,36066,3343619806,PROPRIETARY,6/8/1984,Y,Y,Y,Y,Y,Y,91,70,76,65,78,49,50,91,69,199,51,72,94,66,77,80,70,79,98,201,66,201,21
017056,GENTIVA HEALTH SERVICES,"2511 FAIRLANE DRIVE, SUITE C-100",MONTGOMERY,AL,36116,3342150334,PROPRIETARY,12/3/1984,Y,Y,Y,Y,Y,Y,47,80,86,57,46,47,56,91,79,92,69,68,95,57,48,67,86,75,93,201,50,201,31
017058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,2516210882,PROPRIETARY,10/25/1984,Y,Y,Y,Y,Y,Y,89,94,84,96,62,58,92,100,98,199,94,99,100,60,63,69,65,70,86,201,56,201,25
017063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",BIRMINGHAM,AL,35209,2058773403,PROPRIETARY,12/5/1985,Y,Y,Y,Y,Y,Y,83,82,99,98,75,66,90,99,96,85,97,98,97,66,51,78,79,63,98,201,46,201,20
017066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,2514338172,PROPRIETARY,2/24/1986,Y,Y,Y,Y,Y,Y,96,97,99,100,34,33,100,99,100,98,100,100,98,57,54,65,72,52,98,201,46,201,34
017067,INTREPID USA HEALTHCARE SERVICES,7212 COPPERFIELD DRIVE,MONTGOMERY,AL,36117,3342707913,PROPRIETARY,5/9/1986,Y,Y,Y,Y,Y,Y,82,81,91,92,18,19,82,94,84,199,91,94,90,48,40,52,71,69,99,201,42,201,31
017069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2519711436,PROPRIETARY,7/1/1986,Y,Y,Y,Y,Y,Y,97,87,100,100,64,60,93,100,99,100,98,99,100,62,50,65,75,68,93,201,51,201,30
017070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,2518663261,PROPRIETARY,7/1/1986,Y,Y,Y,Y,Y,Y,89,85,100,100,33,35,94,100,99,97,98,98,100,57,46,64,50,57,95,201,46,201,21
017071,GENTIVA HEALTH SERVICES,12521 ALABAMA HIGHWAY 157,MOULTON,AL,35650,2057397800,PROPRIETARY,8/21/1986,Y,Y,Y,N,Y,Y,93,93,79,98,69,65,94,99,99,98,93,95,99,63,58,72,71,69,91,201,55,201,24
017072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,3343822042,PROPRIETARY,2/5/1987,Y,Y,N,N,N,Y,97,88,99,100,54,45,94,100,98,199,90,88,100,57,41,59,49,57,70,201,56,201,33
017078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,2053759255,PROPRIETARY,6/12/1990,Y,Y,Y,Y,Y,Y,95,95,100,100,87,97,98,100,100,199,100,99,100,64,54,83,79,74,90,201,69,201,24
017079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,2056956736,PROPRIETARY,12/21/1990,Y,Y,N,N,N,Y,76,90,100,98,77,100,199,100,100,199,199,100,100,44,39,54,45,31,199,201,50,201,18
017080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2057597775,GOVERNMENT - STATE/COUNTY,5/2/1991,Y,Y,Y,Y,Y,Y,81,94,100,99,80,77,89,99,99,97,84,98,99,68,66,78,78,75,95,201,65,201,24
017082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,2059263211,PROPRIETARY,11/7/1991,Y,Y,N,Y,Y,Y,91,96,100,100,47,25,100,100,100,199,100,100,100,49,31,46,44,33,199,201,36,201,43
017083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,2052989886,PROPRIETARY,11/19/1991,Y,Y,Y,Y,Y,Y,98,58,98,96,68,66,68,97,85,199,93,90,95,49,60,61,62,68,90,201,44,201,29
017084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,3348726637,PROPRIETARY,11/21/1991,Y,Y,Y,Y,Y,Y,88,80,88,74,34,8,82,93,93,199,199,93,95,64,62,69,72,87,199,201,67,201,22
017085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,2562080087,PROPRIETARY,12/5/1991,Y,Y,Y,Y,Y,Y,92,75,82,98,71,73,91,100,100,100,87,99,99,58,60,69,59,46,100,201,51,201,30
017086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,3346829050,PROPRIETARY,1/9/1992,Y,Y,Y,Y,Y,Y,99,99,79,98,22,25,95,99,95,199,199,92,96,46,44,47,65,49,199,201,47,201,24
017088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,2059325961,PROPRIETARY,12/18/1991,Y,Y,N,Y,Y,Y,93,90,95,96,26,23,95,99,98,199,100,100,94,65,46,73,52,45,93,201,56,201,27
017089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,2567372831,VOLUNTARY NON-PROFIT - OTHER,6/11/1992,Y,Y,Y,N,Y,Y,54,56,100,98,80,82,62,94,92,93,51,78,86,52,61,63,58,60,91,201,39,201,23
017090,MAGNA HOME HEALTH,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,2518432808,PROPRIETARY,6/10/1992,Y,Y,N,N,Y,Y,86,90,98,92,53,46,73,99,73,199,72,61,92,45,60,56,65,55,100,201,45,201,30
017091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,3346243066,GOVERNMENT - STATE/COUNTY,6/18/1992,Y,Y,Y,Y,N,Y,95,98,100,100,63,44,100,100,99,199,100,98,99,90,69,96,90,94,100,201,90,201,26
017092,MEDICAL CENTER HOME HEALTH,"HWY 17 N, HOSPITAL DRIVE",CARROLLTON,AL,35447,2053678111,VOLUNTARY NON-PROFIT - OTHER,7/1/1992,Y,Y,N,Y,N,Y,89,96,100,99,46,50,98,99,99,100,98,100,98,56,55,59,72,67,100,201,45,201,25
017093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,2565242411,PROPRIETARY,7/30/1992,Y,Y,Y,Y,Y,Y,100,86,98,100,52,49,100,100,100,199,100,98,92,66,59,70,71,63,199,201,65,201,26
017094,CHEROKEE HOME HEALTH,775 CHEROKEE PLAZA,CENTRE,AL,35960,2569271144,PROPRIETARY,8/13/1992,Y,Y,Y,N,Y,Y,96,59,99,100,95,89,199,98,100,199,100,100,94,79,67,82,51,79,199,201,76,201,25
017095,ATHENS-LIMESTONE HOMECARE,1428 FREEMAN AVENUE,ATHENS,AL,35613,2562339533,PROPRIETARY,8/12/1992,Y,Y,Y,Y,Y,Y,95,71,83,96,55,47,95,100,100,100,86,92,98,65,66,69,63,53,87,201,59,201,22
017096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705257,GOVERNMENT - LOCAL,10/27/1992,Y,Y,N,N,N,Y,95,89,100,100,64,47,100,100,100,199,97,99,100,54,66,66,72,81,100,201,53,201,33
017097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,2563540077,PROPRIETARY,10/27/1992,Y,Y,Y,Y,Y,Y,98,85,86,98,83,78,92,93,95,199,94,97,98,64,60,73,68,80,88,201,51,201,29
017100,MARION REGIONAL HOMECARE,1186 MILITARY STREET SOUTH,HAMILTON,AL,35570,2059216387,PROPRIETARY,10/29/1992,Y,Y,Y,Y,Y,Y,97,78,84,97,51,50,89,98,89,199,199,98,99,61,68,65,60,67,87,201,46,201,31
017101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,2053925263,GOVERNMENT - LOCAL,12/9/1992,Y,Y,Y,Y,N,Y,98,100,100,94,55,45,199,100,199,199,199,199,98,38,199,62,71,199,199,201,199,201,29
017102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,2053723399,GOVERNMENT - STATE/COUNTY,12/17/1992,Y,Y,Y,Y,N,Y,81,96,89,100,74,51,76,99,93,199,199,75,91,52,32,73,66,75,199,201,41,201,27
017103,BRYAN W WHITFIELD MEM HOSP,HWY 80 E,DEMOPOLIS,AL,36732,3342890701,COMBINATION GOVERNMENT VOLUNTARY,12/23/1992,Y,Y,Y,N,N,Y,88,92,100,100,50,13,97,100,99,199,100,97,95,56,46,63,72,72,100,201,52,201,45
017104,HIGHLANDS HOME HEALTH,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562594840,GOVERNMENT - LOCAL,1/13/1993,Y,Y,Y,Y,N,Y,100,83,100,100,69,62,96,100,99,97,87,100,96,50,56,65,58,51,78,201,44,201,36
017106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,2515786800,PROPRIETARY,1/12/1993,Y,Y,N,N,N,Y,93,98,100,99,71,77,100,100,99,199,96,98,95,59,49,63,65,55,199,201,44,201,28
017107,SUNCREST HOME HEALTH,1010 LAY DAM ROAD,CLANTON,AL,35046,2052804663,PROPRIETARY,5/24/1993,Y,Y,N,Y,Y,Y,98,90,70,98,77,86,99,99,99,100,98,100,98,65,55,72,65,64,85,201,60,201,29
017109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,2054857341,PROPRIETARY,6/23/1993,Y,Y,Y,Y,Y,Y,96,87,100,99,64,72,92,100,98,93,93,100,98,63,53,52,53,29,100,201,32,201,32
017112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,AL,36545,2512470424,PROPRIETARY,6/29/1993,Y,Y,N,Y,N,Y,100,96,96,99,79,76,100,100,100,199,100,99,99,41,30,52,71,58,97,201,51,201,25
017115,GADSDEN REGIONAL HOME HEALTH,82 INDUSTRIAL BOULEVARD,ATTALLA,AL,35954,2565382273,PROPRIETARY,7/27/1993,Y,Y,Y,Y,Y,Y,100,82,99,91,54,52,73,97,99,199,95,97,93,68,58,70,66,66,83,201,49,201,31
017116,IVY CREEK HOME HEALTH,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,3345677710,PROPRIETARY,7/26/1993,Y,Y,Y,Y,N,Y,94,98,99,100,75,75,100,100,100,199,100,100,100,61,56,81,64,67,95,201,66,201,24
017117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,2568257050,PROPRIETARY,7/29/1993,Y,Y,Y,Y,Y,Y,90,86,99,99,53,54,97,99,99,100,97,100,99,85,74,83,87,84,89,201,69,201,36
017118,LAWRENCE HOME HEALTH AGENCY,202 HOSPITAL STREET,MOULTON,AL,35650,2569742200,VOLUNTARY NON-PROFIT - PRIVATE,8/17/1993,Y,Y,N,N,Y,Y,96,66,100,100,56,65,87,100,100,199,199,199,97,43,38,50,50,50,199,201,28,201,32
017119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE- BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,2569226650,PROPRIETARY,9/20/1993,Y,Y,Y,Y,Y,Y,93,85,87,97,62,57,91,99,99,98,94,97,96,56,49,65,50,59,86,201,52,201,28
017121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,AL,36420,3342222172,PROPRIETARY,9/27/1993,Y,Y,Y,Y,Y,Y,92,85,55,99,71,74,85,100,100,100,97,95,99,58,40,65,56,63,96,201,55,201,36
017123,LANIER HOME HEALTH SERVICES,1806 44TH ST.,VALLEY,AL,36854,3347561950,VOLUNTARY NON-PROFIT - PRIVATE,10/21/1993,Y,Y,Y,Y,N,Y,92,99,98,100,71,71,95,100,99,199,97,96,98,60,47,68,83,72,91,201,54,201,26
017124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,AL,36360,3347740750,VOLUNTARY NON-PROFIT - OTHER,10/20/1993,Y,Y,N,Y,Y,Y,95,96,99,99,68,70,72,100,84,100,78,100,100,71,63,67,86,80,95,201,49,201,20
017125,KELLER HOME CARE,217 HOSPITAL ROAD,RED BAY,AL,35582,2563568160,PROPRIETARY,1/20/1994,Y,Y,Y,Y,Y,Y,94,92,96,90,50,45,88,99,98,96,95,97,97,61,59,71,59,59,89,201,58,201,25
017127,SOUTH BALDWIN REGIONAL MEDICAL CTR HOME HEALTH,1613 NORTH  MCKENZIE STREET,FOLEY,AL,36535,2519523600,GOVERNMENT - STATE/COUNTY,2/15/1994,Y,Y,Y,Y,Y,Y,100,90,99,98,37,32,94,97,100,100,92,84,92,62,52,72,76,67,93,201,51,201,32
017128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,2568785811,PROPRIETARY,2/3/1994,Y,Y,Y,Y,Y,Y,90,68,93,99,80,83,91,100,96,199,83,93,97,52,40,64,59,44,94,201,49,201,30
017129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,665 OPELIKA ROAD,AUBURN,AL,36830,3348263131,PROPRIETARY,3/31/1994,Y,Y,Y,Y,Y,Y,86,90,90,97,71,71,94,99,99,96,98,99,97,64,59,72,66,64,96,201,57,201,24
017130,INFIRMARY HOMECARE OF GROVE HILL,127-C CLARKE STREET,GROVE HILL,AL,36451,2512753136,PROPRIETARY,4/13/1994,Y,Y,Y,Y,Y,Y,98,90,84,97,69,68,95,100,97,199,96,100,97,67,55,70,68,57,97,201,57,201,28
017132,ST VINCENT'S HOME HEALTH OF BLOUNT COUNTY,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,2052743365,PROPRIETARY,6/15/1994,Y,Y,Y,Y,Y,Y,90,98,82,99,73,86,92,99,98,100,85,100,100,60,63,69,74,65,86,201,47,201,19
017134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,3344932087,PROPRIETARY,6/14/1994,Y,Y,Y,Y,Y,Y,98,88,95,96,55,53,77,100,91,199,67,99,99,64,50,77,53,35,98,201,47,201,32
017135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,AL,36078,3342836541,VOLUNTARY NON-PROFIT - PRIVATE,9/27/1994,Y,Y,N,N,Y,Y,88,98,99,100,74,70,96,100,99,199,100,99,99,37,52,49,48,37,97,201,20,201,26
017136,RELIABLE HOME HEALTH,435 MEETING STREET,GEORGIANA,AL,36033,3343762286,PROPRIETARY,9/26/1994,Y,Y,N,N,N,Y,80,98,99,97,75,65,199,99,100,199,199,100,98,46,20,54,48,41,199,201,31,201,49
017138,L V STABLER HOME HEALTH AGENCY,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,AL,36037,3343832286,PROPRIETARY,10/18/1994,Y,Y,N,N,Y,Y,95,96,100,96,63,69,100,99,100,199,199,97,95,52,48,70,59,43,95,201,55,201,33
017139,ASSOCIATES HOME HEALTH SERVICES,102 WEST CONECUH AVE,UNION SPRINGS,AL,36089,3347384155,PROPRIETARY,12/12/1994,Y,Y,N,N,N,Y,91,90,97,80,64,53,95,89,100,199,91,98,94,52,54,65,46,50,199,201,38,201,40
017140,"HOSPITAL HOME HEALTH, THE",46 HOSPITAL DRIVE,LUVERNE,AL,36049,3343353374,PROPRIETARY,12/28/1994,Y,Y,Y,Y,Y,Y,98,99,100,100,70,66,96,100,100,199,199,100,100,59,55,64,59,80,96,201,40,201,25
017141,NORTHWEST HOME HEALTH WINFIELD,1530 US HWY 43,WINFIELD,AL,35594,2054877900,PROPRIETARY,5/24/1994,Y,Y,Y,N,N,Y,96,89,100,100,67,89,81,99,81,199,199,199,99,56,38,49,53,56,199,201,33,201,26
017142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,AL,36502,2513686286,VOLUNTARY NON-PROFIT - OTHER,2/13/1995,Y,Y,N,N,N,Y,96,97,100,99,34,34,100,99,100,199,199,199,100,42,55,60,53,39,91,201,39,201,32
017143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,AL,36426,3348672664,PROPRIETARY,1/23/1995,Y,Y,Y,N,N,Y,95,95,88,97,43,35,92,100,98,199,199,94,87,66,63,78,58,49,89,201,66,201,35
017145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,AL,35128,2058847202,PROPRIETARY,11/29/1995,Y,Y,Y,Y,Y,Y,89,97,84,98,82,89,91,98,93,100,90,99,98,50,51,57,77,67,85,201,38,201,25
017146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE NE, PO BOX 1147",RUSSELLVILLE,AL,35653,2563310006,PROPRIETARY,10/1/1998,Y,Y,Y,Y,N,Y,97,58,99,100,58,68,97,100,93,199,84,96,97,56,52,60,43,44,82,201,46,201,32
017147,SOUTHERN HOME HEALTH SERVICES,2214 B GATEWAY DRIVE,OPELIKA,AL,36801,3347457966,VOLUNTARY NON-PROFIT - PRIVATE,2/18/1999,Y,Y,Y,Y,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
017148,THOMAS HOME HEALTH,"27961 US HWY 98, STE 16",DAPHNE,AL,36526,2516251520,PROPRIETARY,4/13/2000,Y,Y,Y,Y,Y,Y,99,83,86,97,67,69,94,100,99,100,91,98,96,59,55,65,53,42,91,201,47,201,30
