ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing,Physical,Occupational Therapy,Speech Therapy,Medical Social,Home Health Aide,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,2059263211,Proprietary,11/7/91 0:00,Y,Y,N,Y,Y,Y,74,100,100,99,79,31,100,99,100,199,100,100,100,31,28,48,43,31,90,201,28,201,46
17083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,2052989886,Proprietary,11/19/91 0:00,Y,Y,Y,Y,Y,Y,91,58,98,98,63,56,76,97,79,199,72,72,91,42,48,57,65,62,90,201,32,201,29
17084,MID-SOUTH HOME HEALTH AGENCY - SELMA,102 CENTRAL PARK PLACE,SELMA,AL,36701,3348726637,Proprietary,11/21/91 0:00,Y,Y,Y,Y,N,Y,80,199,199,199,199,199,199,90,199,199,199,199,100,61,66,65,76,76,73,201,54,201,40
17085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,2562080087,Proprietary,12/5/91 0:00,Y,Y,Y,Y,Y,Y,97,75,94,99,78,74,89,100,97,199,199,97,100,30,34,51,42,46,89,201,24,201,33
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,3346829050,Proprietary,1/9/92 0:00,Y,Y,Y,Y,Y,Y,100,77,76,96,45,35,199,92,89,199,199,199,73,40,50,59,59,69,199,201,25,201,31
17088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,2059325961,Proprietary,12/18/91 0:00,Y,Y,Y,Y,Y,Y,98,82,96,98,23,21,81,100,91,199,199,199,95,47,48,76,63,50,79,201,53,201,43
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,2567372831,Other,6/11/92 0:00,Y,Y,Y,N,Y,Y,85,71,97,87,72,79,53,96,94,100,199,50,84,37,66,63,59,54,79,201,40,201,27
17090,MAGNA HOME HEALTH,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,2518432808,Proprietary,6/10/92 0:00,Y,Y,N,N,N,Y,82,78,97,89,40,39,42,97,39,199,35,29,90,32,39,45,34,27,100,201,34,201,34
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,3346243066,State/County,6/18/92 0:00,Y,Y,Y,Y,N,Y,97,98,100,100,59,42,98,100,98,199,96,89,98,63,61,95,85,81,90,201,77,201,26
17092,MEDICAL CENTER HOME HEALTH,"HWY 17 N, HOSPITAL DRIVE",CARROLLTON,AL,35447,2053678111,Other,7/1/92 0:00,Y,Y,N,Y,N,Y,90,89,99,100,44,60,97,100,98,199,199,100,96,53,62,63,64,64,92,201,56,201,24
17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,2565242411,Proprietary,7/30/92 0:00,Y,Y,Y,Y,Y,Y,98,84,100,98,52,40,199,100,97,199,95,100,92,65,65,83,61,49,199,201,66,201,30
17094,CHEROKEE HOME HEALTH,775 CHEROKEE PLAZA,CENTRE,AL,35960,2569271144,Proprietary,8/13/92 0:00,Y,Y,Y,N,Y,Y,93,92,100,100,86,86,199,96,100,199,199,199,93,73,69,92,88,77,199,201,86,201,39
17095,ATHENS-LIMESTONE HOMECARE,1428 FREEMAN AVENUE,ATHENS,AL,35613,2562339533,Proprietary,8/12/92 0:00,Y,Y,Y,Y,Y,Y,95,65,73,90,54,40,86,99,98,96,69,69,97,52,64,76,71,66,82,201,55,201,31
17096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705257,Proprietary,10/27/92 0:00,Y,Y,N,N,N,Y,91,94,100,100,75,62,100,100,100,199,199,199,99,50,59,63,59,78,95,201,45,201,39
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,2563540077,Proprietary,10/27/92 0:00,Y,Y,Y,N,N,Y,95,92,85,98,73,70,92,98,95,199,199,83,96,68,68,91,87,88,94,201,65,201,29
17100,MARION REGIONAL HOMECARE,1186 MILITARY STREET SOUTH,HAMILTON,AL,35570,2059216387,Proprietary,10/29/92 0:00,Y,Y,Y,Y,Y,Y,91,87,88,93,27,25,82,100,85,199,199,95,95,46,65,73,87,68,199,201,63,201,37
17101,HILL HOSPITAL HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,2053925263,Local,12/9/92 0:00,Y,Y,Y,Y,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,25,199,55,44,39,199,201,199,201,30
17102,GREENE COUNTY HOSPITAL HOME HEALTH,509 WILSON AVENUE,EUTAW,AL,35462,2053723399,State/County,12/17/92 0:00,Y,Y,Y,Y,N,Y,80,90,87,100,80,17,199,87,199,199,199,199,63,21,199,55,59,199,199,201,23,201,59
17103,BRYAN W WHITFIELD MEM HOSP,HWY 80 E,DEMOPOLIS,AL,36732,3342890701,Combination GOVT & Voluntary,12/23/92 0:00,Y,Y,Y,N,N,Y,93,93,99,97,42,17,100,99,99,199,100,93,92,45,34,47,56,58,100,201,41,201,40
17104,HIGHLANDS HOME HEALTH,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562594840,Local,1/13/93 0:00,Y,Y,Y,Y,N,Y,98,81,100,100,68,63,83,100,88,199,68,98,99,38,57,58,55,51,93,201,35,201,32
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,2515786800,Proprietary,1/12/93 0:00,Y,Y,N,N,N,Y,84,98,99,100,90,76,199,100,97,199,199,199,96,31,52,40,43,36,100,201,15,201,35
17107,CHILTON MEDICAL CENTER HOME HEALTH,1010 LAY DAM ROAD,CLANTON,AL,35045,2052804663,Proprietary,5/24/93 0:00,Y,Y,N,Y,Y,Y,92,99,100,100,78,91,93,99,99,199,93,100,97,36,52,70,76,59,98,201,49,201,37
17109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,2054857341,Proprietary,6/23/93 0:00,Y,Y,Y,Y,Y,Y,97,95,100,100,54,67,94,100,95,96,82,92,98,38,42,48,45,34,91,201,37,201,27
17112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,AL,36545,2512470424,Proprietary,6/29/93 0:00,Y,Y,N,Y,N,Y,93,90,100,98,65,62,81,100,95,199,96,95,95,48,44,55,62,58,92,201,43,201,36
17115,GADSDEN REGIONAL HOME HEALTH,425 5TH AVENUE NW,ATTALLA,AL,35954,2565382273,Proprietary,7/27/93 0:00,Y,Y,Y,N,Y,Y,99,80,100,70,69,58,199,94,88,199,79,95,81,47,67,74,63,60,199,201,54,201,35
17116,IVY CREEK HOME HEALTH,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,3345677710,Proprietary,7/26/93 0:00,Y,Y,Y,Y,N,Y,94,98,99,100,78,71,100,99,100,199,100,100,99,58,63,77,72,61,76,201,65,201,30
17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,2568257050,Proprietary,7/29/93 0:00,Y,Y,Y,Y,Y,Y,88,94,100,100,52,51,88,100,94,100,82,100,98,46,48,65,66,54,88,201,35,201,48
17118,LAWRENCE HOME HEALTH AGENCY,202 HOSPITAL STREET,MOULTON,AL,35650,2569742200,Private,8/17/93 0:00,Y,Y,N,N,Y,Y,98,69,97,100,64,74,199,100,78,199,199,199,100,41,44,57,59,55,199,201,22,201,34
17119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE- BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,2569226650,Proprietary,9/20/93 0:00,Y,Y,Y,Y,Y,Y,91,80,81,92,57,47,90,99,97,199,98,96,95,52,57,71,56,61,75,201,51,201,30
17121,MID-SOUTH HOME HEALTH,1309 ANTIOCH ROAD,ANDALUSIA,AL,36420,3342222172,Proprietary,9/27/93 0:00,Y,Y,Y,Y,Y,Y,94,83,92,100,72,72,89,99,96,199,100,98,99,41,36,51,54,36,83,201,26,201,42
17123,LANIER HOME HEALTH SERVICES,1806 44TH ST.,VALLEY,AL,36854,3347561950,Private,10/21/93 0:00,Y,Y,Y,Y,N,Y,92,100,99,99,72,69,100,99,99,199,90,94,99,63,60,73,79,76,87,201,59,201,28
17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,AL,36360,3347740750,State/County,10/20/93 0:00,Y,Y,N,Y,Y,Y,95,97,100,99,70,75,83,99,94,199,86,100,99,51,61,71,91,80,87,201,48,201,18
17125,COMMUNITY HOME CARE,211 HOSPITAL RD,RED BAY,AL,35582,2563568160,State/County,1/20/94 0:00,Y,Y,Y,Y,Y,Y,84,82,99,86,49,40,96,99,100,199,97,93,95,53,54,75,66,60,85,201,62,201,31
17127,SOUTH BALDWIN REGIONAL MEDICAL CTR HOME HEALTH,1613 NORTH  MCKENZIE STREET,FOLEY,AL,36535,2519523600,State/County,2/15/94 0:00,Y,Y,Y,Y,Y,Y,100,98,96,96,77,72,199,95,93,199,199,39,78,56,52,64,81,58,94,201,44,201,35
17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,2568785811,Proprietary,2/3/94 0:00,Y,Y,Y,Y,Y,Y,95,73,92,97,77,81,94,100,98,199,100,94,97,53,56,75,55,52,86,201,58,201,38
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,665 OPELIKA ROAD,AUBURN,AL,36830,3348263131,Proprietary,3/31/94 0:00,Y,Y,Y,Y,Y,Y,78,92,87,88,80,82,87,100,94,199,97,97,96,45,52,63,64,51,64,201,45,201,30
17130,INFIRMARY HOMECARE OF GROVE HILL,127-C CLARKE STREET,GROVE HILL,AL,36451,2512753136,Proprietary,4/13/94 0:00,Y,Y,Y,Y,Y,Y,99,82,88,91,64,60,92,100,98,199,199,199,92,58,63,78,72,59,93,201,61,201,32
17132,CARE FIRST HOME HEALTH OF BLOUNT COUNTY,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,2052743365,Proprietary,6/15/94 0:00,Y,Y,Y,Y,Y,Y,80,94,89,96,74,86,90,99,97,199,97,100,99,52,58,71,80,63,64,201,38,201,25
17134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,3344932087,Proprietary,6/14/94 0:00,Y,Y,Y,Y,Y,Y,97,78,96,98,60,55,69,99,76,199,64,99,98,59,57,80,63,38,78,201,40,201,41
17135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,AL,36078,3342836541,Private,9/27/94 0:00,Y,Y,N,N,Y,Y,90,94,100,100,67,63,199,100,100,199,100,96,100,45,61,63,59,57,86,201,41,201,26
17136,RELIABLE HOME HEALTH,131 WEST MILL STREET,GEORGIANA,AL,36033,3343762286,Proprietary,9/26/94 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,29,14,90,47,8,199,201,57,201,45
17138,L V STABLER HOME HEALTH AGENCY,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,AL,36037,3343832286,Proprietary,10/18/94 0:00,Y,Y,N,N,Y,Y,96,86,100,80,74,73,86,95,93,199,199,199,85,63,64,80,83,60,94,201,47,201,48
17139,ASSOCIATES HOME HEALTH,102 WEST CONECUH AVE,UNION SPRINGS,AL,36089,3347384155,Proprietary,12/12/94 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,51,199,199,199,199,199,201,199,201,41
17140,"HOSPITAL HOME HEALTH, THE",46 HOSPITAL DRIVE,LUVERNE,AL,36049,3343353374,Proprietary,12/28/94 0:00,Y,Y,Y,Y,Y,Y,97,95,100,100,71,55,94,100,97,199,199,199,100,58,61,66,61,57,93,201,43,201,22
17141,NORTHWEST HOME HEALTH WINFIELD,1530 US HWY 43,WINFIELD,AL,35594,2054877900,Proprietary,5/24/94 0:00,Y,Y,Y,N,N,Y,97,78,100,97,82,87,64,98,81,199,199,199,100,45,40,54,54,52,199,201,25,201,32
17142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,AL,36502,2513686286,Other,2/13/95 0:00,Y,Y,N,N,N,Y,90,91,100,92,84,53,199,100,100,199,199,199,100,42,77,77,68,70,87,201,56,201,44
17143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,AL,36426,3348672664,Proprietary,1/23/95 0:00,Y,Y,Y,N,N,Y,98,78,97,98,47,40,77,99,98,199,81,89,92,60,70,82,69,56,89,201,63,201,41
17145,CARE FIRST HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,AL,35128,2058847202,Proprietary,11/29/95 0:00,Y,Y,Y,Y,Y,Y,75,96,91,89,83,82,91,97,89,100,86,99,100,48,50,64,69,54,83,201,38,201,33
17146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE NE, PO BOX 1147",RUSSELLVILLE,AL,35653,2563310006,Proprietary,10/1/98 0:00,Y,Y,Y,Y,N,Y,97,40,100,100,67,54,91,100,94,199,199,199,90,35,46,43,24,33,72,201,47,201,30
17147,SOUTHERN HOME HEALTH SERVICES,2214 B GATEWAY DRIVE,OPELIKA,AL,36801,3347457966,Private,2/18/99 0:00,Y,Y,Y,Y,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,45,54,69,67,65,199,201,50,201,27
17148,THOMAS HOME HEALTH,"27961 US HWY 98, STE 16",DAPHNE,AL,36526,2516251520,Proprietary,4/13/00 0:00,Y,Y,Y,Y,Y,Y,99,91,88,96,82,78,82,100,97,199,81,100,98,46,51,67,68,63,93,201,37,201,39
17149,CARE FIRST HOME HEALTH OF JEFFERSON COUNTY,"117 GEMINI CIRCLE, SUITE 407",BIRMINGHAM,AL,35209,2053132800,Proprietary,7/12/00 0:00,Y,Y,Y,Y,Y,Y,74,98,93,90,73,79,79,100,93,100,79,99,99,46,52,70,75,68,82,201,40,201,29
17151,MID-SOUTH HOME HEALTH,"409 EAST 10TH STREET, SUITE 305",ANNISTON,AL,36207,2568357101,Proprietary,10/5/00 0:00,Y,Y,Y,Y,Y,Y,90,85,78,97,50,40,76,99,93,98,91,84,100,59,49,70,78,70,86,201,46,201,29
