"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients who get better at getting to and from the toilet","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who get better at getting dressed","Percentage of patients who stay the same (don't get worse) at bathing","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who are confused less often"
"247248","A CHANCE TO GROW INC","1800 SECOND STREET NE","MINNEAPOLIS","MN","55418","6127065530","Voluntary Non Profit - Private",2/14/1989 0:00:00,"Y","Y","Y","Y","N","N",201,201,201,201,201,201,201,201,201,201,201
"367499","A D HOME HEALTH CARE","1009 DELTA AVENUE","CINCINNATI","OH","45208","5135334977","Proprietary",10/2/1992 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199
"107784","A FAMILIAR FACE HOME HEALTH","5899 WHITFIELD AVENUE, SUITE 107","SARASOTA","FL","34243","9413659474","Proprietary",6/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"107639","A FAMILIAR FACE HOME HEALTH SERVICES, INC.","2750 BAHIA VISTA STREET, SUITE 125","SARASOTA","FL","34239","9413659474","Proprietary",4/13/2001 0:00:00,"Y","Y","Y","Y","Y","Y",25,45,58,46,50,16,51,88,22,23,17
"679066","A GOOD HOME HEALTH CARE","1128 W HILDEBRAND","SAN ANTONIO","TX","78201","2107376690","Proprietary",8/6/2001 0:00:00,"Y","Y","Y","Y","Y","Y",27,24,47,50,39,23,30,95,46,22,17
"679364","A HOMECARE COM","SPUR FR 357","NOGALUS","TX","75847","9368313400","Proprietary",9/19/2003 0:00:00,"Y","N","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"679140","A MISSION OF HOME HEALTH CARE INC","8035 EAST RLT FREEWAY SUITE 106","DALLAS","TX","75228","2143279656","Proprietary",6/6/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199
"507100","A ONE HOME HEALTH CARE","3114 OAKES AVENUE","EVERETT","WA","98201","4252528518","Proprietary",10/7/1994 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199
"459323","A ONE PLUS HOME HEALTH CARE","107 NORTH CEDAR RIDGE DRIVE SUITE 112","DUNCANVILLE","TX","75116","9722839499","Proprietary",6/27/1997 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199,199
"677545","A PINEYWOODS HOME HEALTH CARE","103D CARRIAGE DRIVE","LUFKIN","TX","75904","9366341617","Proprietary",11/12/1992 0:00:00,"Y","Y","Y","Y","Y","Y",26,37,44,42,46,39,51,92,43,42,21
"679082","A PLUS FAMILY CARE LLC","6323 SOVEREIGN RD SUITE 172B","SAN ANTONIO","TX","78229","2105309111","Proprietary",10/25/2001 0:00:00,"Y","Y","Y","Y","Y","Y",29,41,66,81,58,38,60,90,38,28,45
"557420","A PLUS HOME HEALTH SPECIALISTS","1000 LAKES DRIVE STE 230","WEST COVINA","CA","91790","6269189905","Proprietary",7/18/1994 0:00:00,"Y","Y","Y","Y","Y","Y",76,65,87,95,95,53,95,95,10,14,63
"107644","A S A HOME CARE SVCS INC","8700 WEST FLAGLER STREET, SUITE 110","MIAMI","FL","33174","3054476516","Proprietary",5/9/2001 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,24,28,199
"497493","A T HOME CARE","3228 A  WEST CARY STREET","RICHMOND","VA","23221","8043593400","Proprietary",1/20/1995 0:00:00,"Y","Y","Y","Y","Y","Y",51,56,62,64,61,31,70,93,27,25,43
"459339","A TOUCH HOME HEALTH CARE LTD","3151 CENTER POINTE DRIVE","EDINBURG","TX","78539","9569280167","Voluntary Non Profit - Other",7/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",27,29,28,26,44,25,46,95,27,13,18
"679110","A UNIFIED HOME HEALTH AGENCY","2033 MILITARY PARKWAY STE 400 D","MESQUITE","TX","75149","9722167311","Proprietary",2/15/2002 0:00:00,"Y","Y","N","N","Y","Y",27,27,199,84,59,45,62,95,25,5,28
"107150","A VISITING REDI-NURSE","1800 FOREST HILL BLVD SUITE B-1","WEST PALM BEACH","FL","33406","5614338800","Proprietary",4/1/1977 0:00:00,"Y","Y","Y","Y","Y","Y",46,56,71,67,70,42,67,95,28,21,50
"067254","A WELLNESS WAY INC","2255 SOUTH BROADWAY","DENVER","CO","80210","3037222208","Proprietary",5/17/1995 0:00:00,"Y","Y","Y","Y","Y","Y",24,31,53,47,46,46,55,92,37,32,43
"147643","A+ HEALTHCARE","1421 5TH AVENUE","MOLINE","IL","61265","3097628181","Proprietary",10/10/1996 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"107645","A+ HEALTHCARE SPECIALISTS","255 SE HWY 19","CRYSTAL RIVER","FL","34429","3525642700","Proprietary",4/28/1999 0:00:00,"Y","Y","Y","Y","N","Y",35,33,59,40,58,26,58,91,19,28,7
"107646","A+ HEALTHCARE SPECIALISTS","3405 SW COLLEGE ROAD, SUITE 211","OCALA","FL","34474","3528614931","Proprietary",9/6/2000 0:00:00,"Y","Y","Y","Y","N","Y",43,67,78,61,68,36,75,92,31,30,199
"197606","A-1 NURSING REGISTRY, INC.","515 A VEROT SCHOOL ROAD","LAFAYETTE","LA","70508","3372375570","Proprietary",9/27/1993 0:00:00,"Y","Y","Y","Y","Y","Y",29,42,47,54,56,199,52,95,52,31,199
"679111","A-G TOTAL CARE HOME HEALTH SERVICES INC","2306 GUTHRIE ROAD #160","GARLAND","TX","75043","9722266613","Proprietary",2/20/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,53,52,199
"678259","A-MED HOME HEALTH","4008 VISTA SUITE 200 B","PASADENA","TX","77504","7139412115","Proprietary",6/18/1996 0:00:00,"Y","Y","Y","Y","Y","Y",61,70,61,82,67,54,75,92,33,7,39
"197403","AAA HOME HEALTH AGENCY","2111 HWY 14","NEW IBERIA","LA","70560","3373670940","Proprietary",4/23/1991 0:00:00,"Y","Y","Y","Y","Y","Y",39,48,60,52,57,33,65,86,41,19,37
"157525","AAA HOOSIER HOME HEALTH CARE SPECIALISTS INC","5241 FOUNTAIN DR, SUITE D","CROWN POINT","IN","46307","2197362996","Proprietary",9/8/1998 0:00:00,"Y","Y","Y","Y","Y","Y",21,29,21,30,35,24,36,95,53,57,25
"047308","AAA SOUTHEAST AR ASHLEY CO","208 ALABAMA","CROSSETT","AR","71635","8703647788","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047307","AAA SOUTHEAST AR CHICOT CO","310 MAIN STREET","LAKE VILLAGE","AR","71653","8702653841","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,30,199,199
"047309","AAA SOUTHEAST AR CLEVELAND CO","212 MAIN STREET","RISON","AR","71665","8703257455","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047306","AAA SOUTHEAST AR DREW CO","110 EAST GAINS","MONTICELLO","AR","71657","8703679873","Voluntary Non Profit - Other",1/7/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047313","AAA SOUTHEAST AR GRANT CO","2071 HIGHWAY 167 SOUTH","SHERIDAN","AR","72150","8709424842","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047030","AAA SOUTHEAST AR JEFFERSON CO","709 EAST EIGHTH AVE","PINE BLUFF","AR","71611","8705436300","Voluntary Non Profit - Private",1/5/1982 0:00:00,"Y","Y","N","N","N","Y",37,38,199,33,39,199,199,95,31,28,199
"047310","AAA SOUTHEAST AR LINCOLN CO","700 SOUTH LINCOLN","STAR CITY","AR","71667","8706285147","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047315","AAA SOUTHEAST AR, INC- ARKANSAS CO","806 WEST 22ND, SUITE D","STUTTGART","AR","72160","8706737146","Voluntary Non Profit - Private",9/2/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,40,29,199
"047314","AAA SOUTHEAST BRADLEY CO","110 EAST CEDAR STREET","WARREN","AR","71671","8702265769","Voluntary Non Profit - Private",8/19/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"047156","AAA WESTERN AR LOGAN CO","333 SOUTH FIRST STREET","PARIS","AR","72855","4799636868","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","Y","Y",22,35,199,28,39,15,40,91,14,17,199
"047162","AAA WESTERN AR POLK CO","600 SEVENTH STREET","MENA","AR","71953","4793945458","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","Y","Y",51,34,199,49,79,25,59,95,28,18,12
"047157","AAA WESTERN AR SCOTT CO","1325 CLYDE HAWKINS DRIVE","WALDRON","AR","72958","4796374795","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","N","N","Y","Y",13,10,199,199,44,199,48,95,46,37,10
"047034","AAA WESTERN AR SEBASTIAN CO","524 GARRISON AVENUE","FORT SMITH","AR","72902","4797835550","Voluntary Non Profit - Other",1/19/1982 0:00:00,"Y","Y","Y","Y","Y","Y",25,31,56,47,45,27,47,95,21,22,16
"047158","AAA WESTERN ARK FRANKLIN CO","317 WEST COMMERCIAL","OZARK","AR","72949","4796674870","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","Y","Y",13,21,33,35,35,11,40,91,18,17,22
"107610","AACTION HOME HEALTH CARE","1671 WEST 37 STREET, SUITE 4","HIALEAH","FL","33012","3053624594","Proprietary",2/15/2000 0:00:00,"Y","N","N","N","Y","Y",27,29,52,75,56,37,56,95,28,5,37
"147692","ABBEY ST. CLAIRE QUALITY CARE","3415 N ODELL AVENUE","CHICAGO","IL","60634","7738369306","Proprietary",9/15/1997 0:00:00,"Y","Y","Y","Y","Y","Y",28,52,199,90,60,29,55,95,20,22,199
"679344","ABBIE HEALTH CARE INC","4423 NW LOOP 410 SUITE 102","SAN ANTONIO","TX","78229","2103417800","Proprietary",9/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"368014","ABBOTT HOME CARE, INC","209 MARION PIKE","IRONTON","OH","45638","7405349908","Proprietary",3/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"397255","ABBY HEALTH CARE INC","287 EDISON STREET","UNIONTOWN","PA","15401","7244398330","Proprietary",7/6/1984 0:00:00,"Y","Y","Y","Y","Y","Y",30,38,60,37,45,27,61,84,34,36,42
"679129","ABBY HOME HEALTH","1401 WEST WHEELER","ARANSAS PASS","TX","78336","3617589336","Proprietary",4/26/2002 0:00:00,"Y","Y","Y","Y","Y","Y",28,35,51,61,64,47,52,95,37,20,31
"367519","ABC HEALTH CARE INC","1605 HOLLAND ROAD","MAUMEE","OH","43537","4198939700","Proprietary",5/5/1993 0:00:00,"Y","Y","Y","Y","Y","Y",43,71,199,44,42,23,44,86,28,18,36
"367796","ABC HOME CARE AND NURSING SRVS","2021 EAST DUBLIN-GRANVILLE RD","COLUMBUS","OH","43229","6148823320","Proprietary",7/24/2002 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201,201
"368017","ABC HOME CARE, INC.","201 WEST RIVERSIDE DRIVE, SUITE 2-H","DAYTON","OH","45405","9372228189","Proprietary",6/17/2003 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201,201
"459054","ABICARE HOME HEALTH LLC","2964 LBJ FREEWAY SUITE 301","DALLAS","TX","75234","9722412419","Proprietary",1/3/1997 0:00:00,"Y","Y","Y","Y","Y","Y",18,24,38,62,51,30,63,92,31,32,31
"197431","ABIDE HOME CARE SERVICES, INC","ONE SEINE COURT - SUITE 500","NEW ORLEANS","LA","70114","5043661876","Proprietary",1/2/1992 0:00:00,"Y","Y","Y","Y","Y","Y",29,28,32,49,58,23,56,91,24,12,21
"457564","ABILENE HOME HEALTH PROF CARE","265 SOUTH LEGGETT DRIVE SUITE 1","ABILENE","TX","79605","9156729454","Proprietary",2/20/1984 0:00:00,"Y","Y","Y","Y","N","Y",55,52,63,76,75,37,73,95,14,7,29
"397145","ABINGTON MEMORIAL HOSPITAL  HOME CARE","2510 MARYLAND ROAD SUITE 250","WILLOW GROVE","PA","19090","2154815800","Voluntary Non Profit - Other",9/9/1980 0:00:00,"Y","Y","Y","Y","Y","Y",34,49,61,61,62,36,62,89,33,18,53
"067429","ABLE CARE HOME HEALTH","1450 S HAVANA ST #504","AURORA","CO","80012","3033443364","Proprietary",3/17/2003 0:00:00,"Y","Y","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"337281","ABLE HEALTH CARE SVS INC CHHA","1240 BROADCAST PLAZA","MERRICK","NY","11566","5165468000","Proprietary",3/29/1991 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199
"017041","ABLE HOME HEALTH INC","730 MEMORIAL DRIVE SUITE 104","BESS","AL","35022","2054286322","Proprietary",8/4/1982 0:00:00,"Y","Y","Y","Y","Y","Y",37,49,65,54,55,33,63,87,16,16,43
"557766","ABLE HOME HEALTH, INC","24325 SAN FERNANDO RD STE 102","SANTA CLARITA","CA","91321","6612545050","Proprietary",1/15/1997 0:00:00,"Y","Y","Y","Y","Y","Y",31,43,57,52,60,29,68,92,20,22,41
"147734","ABLE HOME HEALTH, LLC","4249 E STATE ST #205","ROCKFORD","IL","61108","8153992600","Proprietary",2/24/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"679228","ABSOLUTE BEST CARE HOME HEALTH","1400 WEST SAM HOUSTON PARKWAY NORTH #250","HOUSTON","TX","77043","7134676744","Proprietary",2/28/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"459481","ABSOLUTE HOME CARE","1200 E FM 2410","HARKER HEIGHTS","TX","76548","2546982998","Proprietary",2/10/2000 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,43,41,199
"178044","ABSOLUTE HOME HEALTH CARE","9415 E HARRY SUITES 204 AND 205","WICHITA","KS","67207","3168321347","Proprietary",8/18/1997 0:00:00,"Y","Y","Y","N","Y","Y",25,199,199,36,48,14,199,91,64,57,41
"107783","ABSOLUTE HOME HEALTHCARE","1000 W EMMETT STREET, SUITE 202","KISSIMMEE","FL","34741","4078709336","Proprietary",5/23/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"367754","ABSOLUTE SKILLED HOME CARE","7235 WHIPPLE AVENUE NW, PO BOX 2880","NORTH CANTON","OH","44720","3304988218","Proprietary",8/29/1997 0:00:00,"Y","Y","Y","Y","Y","Y",32,39,54,48,43,17,50,94,30,24,27
"459491","ABSOLUTECARE HEALTH SERVICES","2611 NORTH BELTLINE ROAD SUITE 107","SUNNYVALE","TX","75182","9722265093","Proprietary",6/13/2000 0:00:00,"Y","Y","N","N","Y","Y",199,199,199,199,199,199,199,199,35,36,199
"459311","ABUNDANT HEALTH CARE SERVICES","5311 S MCCOLL ROAD","EDINBURG","TX","78539","9566310012","Proprietary",6/26/1997 0:00:00,"Y","Y","N","N","N","Y",20,16,37,29,53,15,35,95,24,26,14
"367522","AC HOMENURSING SERVICES INC","3200 WEST MARKET STREET, SUITE 107","AKRON","OH","44333","3308670000","Proprietary",6/23/1993 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,60,48,199
"367162","ACADEMY HEALTH SERVICES INC","2621 WILMINGTON PIKE","DAYTON","OH","45419","9372936631","Proprietary",1/12/1982 0:00:00,"Y","Y","Y","Y","Y","Y",29,73,66,69,47,36,62,95,37,30,34
"197060","ACADIAN HOMECARE, LLC","1538 W PINHOOK RD SUITE A","LAFAYETTE","LA","70503","3372358185","Proprietary",5/23/1979 0:00:00,"Y","Y","Y","Y","Y","Y",38,35,58,57,55,35,59,93,36,25,28
"679097","ACC HEALTH SERVICES INC","6001 SAVOY SUITE 501","HOUSTON","TX","77036","7135321980","Proprietary",1/8/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,33,32,199
"067431","ACCELERATED HOME HEALTHCARE","800 E 73RD AVE #14B","DENVER","CO","80221","7203220311","Proprietary",5/21/2003 0:00:00,"Y","N","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"557524","ACCENT HOME CARE, INC","4000 LONG BEACH BLVD SUITE 221","LONG BEACH","CA","90807","5626373113","Proprietary",4/25/1995 0:00:00,"Y","Y","Y","Y","Y","Y",16,28,38,85,35,18,39,95,27,5,37
"679151","ACCENT HOME HEALTH","585 COMMERCE STREET SUITE A","SOUTHLAKE","TX","76092","8174109884","Proprietary",8/19/2002 0:00:00,"Y","Y","Y","Y","Y","Y",37,58,72,63,71,46,71,90,29,19,38
"679163","ACCENT HOME HEALTH","3480 FANNIN SUITE K","BEAUMONT","TX","77701","4098357700","Proprietary",9/17/2002 0:00:00,"Y","Y","Y","N","Y","Y",31,36,72,71,69,50,70,95,30,19,32
"067101","ACCENT ON INDEPENDENCE","1728 RACE STREET","DENVER","CO","80206","3033310818","Proprietary",12/15/1983 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,42,37,199
"248068","ACCESS HEALTH CARE","1891 EAST HIGHWAY 2","GRAND RAPIDS","MN","55744","2183260004","Proprietary",4/17/1999 0:00:00,"Y","Y","N","Y","Y","Y",12,43,199,47,40,5,199,95,27,23,199
"679153","ACCESS HOME CARE","1706 STRAWBERRY ROAD #100","PASADENA","TX","77502","7134772280","Proprietary",8/27/2002 0:00:00,"Y","Y","N","Y","Y","Y",199,199,199,199,199,199,199,199,55,46,199
"107442","ACCESS HOME HEALTH","111 NORTH LAKEMONT AVENUE","WINTER PARK","FL","32792","4076285871","Proprietary",4/13/1992 0:00:00,"Y","Y","Y","Y","Y","Y",35,53,61,72,59,38,66,92,28,26,42
"107586","ACCESS HOME HEALTH","1832 SE PORT ST LUCIE BLVD","PORT SAINT LUCIE","FL","34952","5613353245","Proprietary",8/19/1998 0:00:00,"Y","Y","Y","Y","Y","Y",42,56,63,68,63,46,63,93,30,25,41
"107565","ACCESS HOME HEALTH","4935 SOUTHFORK DRIVE","LAKELAND","FL","33813","9412933181","Proprietary",4/25/1997 0:00:00,"Y","Y","Y","Y","Y","Y",46,54,63,65,66,40,72,95,23,21,48
"117098","ACCESS HOME HEALTH","3575 MACON RD, SUITE 15","COLUMBUS","GA","31907","7065628225","Proprietary",8/21/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"117136","ACCESS HOME HEALTH","5 CONCOURSE PARKWAY, SUITE 825","ATLANTA","GA","30328","7704810014","Proprietary",6/18/2003 0:00:00,"Y","Y","Y","Y","Y","N",201,201,201,201,201,201,201,201,201,201,201
"117137","ACCESS HOME HEALTH","120B WEST COLLEGE STREET","GRIFFIN","GA","30224","7702330023","Proprietary",7/10/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"267502","ACCESS HOME HEALTH AGENCY  INC","DOCTOR'S HOSPITAL CLINIC BUILDING","SPRINGFIELD","MO","65803","4178637100","Proprietary",2/1/1996 0:00:00,"Y","Y","Y","Y","N","Y",37,60,199,65,55,37,49,95,27,31,30
"107383","ACCESS HOME HLTH MELBOURNE","1333 GATEWAY DRIVE","MELBOURNE","FL","32901","3217254799","Proprietary",5/18/1994 0:00:00,"Y","Y","Y","Y","Y","Y",41,53,60,66,65,31,68,93,31,25,36
"107589","ACCESS HOME HLTH OF FLORIDA","3359 W VINE STREET","KISSIMMEE","FL","34741","4079312600","Proprietary",10/8/1998 0:00:00,"Y","Y","Y","Y","Y","Y",37,54,66,71,68,38,63,92,28,27,39
"679325","ACCOLADE HOME CARE","3301 HAMILTON SUITE 115","FORT WORTH","TX","76107","8178829677","Proprietary",8/21/2003 0:00:00,"Y","Y","Y","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"678232","ACCORD HOME CARE INC","2007 NORTH MAYS SUITE 102","ROUND ROCK","TX","78664","5122461451","Proprietary",5/24/1996 0:00:00,"Y","Y","N","N","N","Y",50,53,74,44,52,52,66,92,52,29,49
