ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
017084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,3348726637,PROPRIETARY,11/21/1991,Y,Y,Y,Y,Y,Y,92,96,92,98,66,67,88,98,99,199,96,98,100,70,69,78,92,88,93,70,17,22
017090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,2518432808,PROPRIETARY,6/10/1992,Y,Y,N,N,N,Y,92,95,100,98,82,74,98,100,100,199,100,95,98,47,55,58,58,60,93,47,13,16
017127,SOUTH BALDWIN REGIONAL HOME HEALTH,1605 NORTH  MCKENZIE STREET,FOLEY,AL,36535,2514241045,GOVERNMENT - STATE/COUNTY,2/15/1994,Y,Y,Y,Y,Y,Y,95,96,99,95,66,66,89,99,99,199,90,71,99,63,55,82,79,68,100,54,9,18
017847,MARION COUNTY HOME CARE,"2448 MILITARY STREET, SOUTH",HAMILTON,AL,35570,2059212859,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,Y,Y,Y,99,94,96,100,63,74,95,100,100,100,100,100,100,77,66,91,73,73,82,69,14,14
017152,GENTIVA HEALTH SERVICES,1025 FORT WILLIAMS,SYLACAUGA,AL,35150,2562494363,PROPRIETARY,10/5/2000,Y,Y,Y,Y,Y,Y,90,98,99,99,75,84,99,100,100,199,99,99,100,65,59,72,79,76,83,59,18,20
017176,ACE HOME HEALTH CARE,"7017 WALL TRIANA HIGHWAY, SUITE C",MADISON,AL,35757,2563468223,PROPRIETARY,6/12/2013,Y,Y,Y,Y,N,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
017141,NORTHWEST HOME HEALTH WINFIELD,1530 US HWY 43,WINFIELD,AL,35594,2054877900,PROPRIETARY,5/24/1994,Y,Y,Y,N,N,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
017175,BROOKWOOD HOME HEALTH LLC,525 BROOKWOOD BLVD,HOMEWOOD,AL,35209,2058771754,PROPRIETARY,5/24/2013,Y,Y,Y,Y,Y,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
017000,BUREAU OF HOME & COMMUNITY SERVICES,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,AL,36104,3342065341,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,Y,Y,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
017876,LAWRENCE COUNTY HOME CARE,"13299 ALABAMA HIGHWAY 157, P O BOX 308",MOULTON,AL,35650,2569747076,GOVERNMENT - STATE/COUNTY,4/5/1988,Y,Y,N,N,Y,Y,99,96,76,100,59,49,98,100,99,199,97,95,98,37,43,63,56,37,199,38,17,14
017102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,2053723399,PROPRIETARY,12/17/1992,Y,Y,Y,Y,N,Y,98,99,100,96,55,14,100,99,100,199,199,199,100,70,66,77,76,79,199,64,16,17
017109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,2054857341,PROPRIETARY,6/23/1993,Y,Y,N,N,N,Y,97,87,97,100,68,76,92,100,96,100,94,100,99,57,53,52,48,38,94,35,9,25
017305,AMEDISYS HOME HEALTH OF ANNISTON,"171 TOWN CENTER DR, SUITE MPS-4",ANNISTON,AL,36205,2568359099,PROPRIETARY,9/20/1979,Y,Y,Y,Y,Y,Y,90,91,82,100,58,56,91,99,97,99,95,96,100,62,52,68,63,62,85,58,13,19
017865,WASHINGTON COUNTY HOME CARE,14900 SAINT STEPHENS AVENUE,CHATOM,AL,36518,2518472257,GOVERNMENT - STATE/COUNTY,1/10/1969,Y,N,N,N,Y,Y,94,94,94,100,70,67,100,100,92,199,95,95,100,76,65,83,63,64,199,65,7,19
017148,THOMAS HOME HEALTH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,AL,36532,2516251520,PROPRIETARY,4/13/2000,Y,Y,Y,Y,Y,Y,97,98,94,98,84,84,98,100,100,91,96,99,98,63,59,72,64,53,99,57,11,20
017149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",HOOVER,AL,35242,2053132800,PROPRIETARY,7/12/2000,Y,Y,Y,Y,Y,Y,94,95,94,99,76,76,79,100,91,98,82,100,99,56,54,65,72,57,89,44,13,15
017163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,AL,36460,2515759195,PROPRIETARY,4/12/2007,Y,Y,N,Y,Y,Y,95,99,100,100,84,95,100,100,100,199,100,99,100,70,61,86,85,89,91,61,13,20
017166,GENTIVA HEALTH SERVICES,118 6TH STREET SOUTH,CLANTON,AL,35045,2057559926,PROPRIETARY,5/11/2009,Y,Y,Y,Y,Y,Y,84,96,100,98,76,75,95,98,99,199,98,98,100,67,57,73,74,64,87,58,10,20
017028,CARETENDERS,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,2057837900,PROPRIETARY,6/1/1979,Y,Y,Y,Y,Y,Y,75,67,94,98,58,50,85,99,94,90,93,98,99,54,49,61,48,60,96,50,8,20
017063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",BIRMINGHAM,AL,35209,2058773403,PROPRIETARY,12/5/1985,Y,Y,Y,Y,Y,Y,80,76,89,99,63,63,89,99,99,199,98,99,99,59,43,60,61,45,90,50,12,18
017070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,2518663261,PROPRIETARY,7/1/1986,Y,Y,Y,Y,Y,Y,94,88,84,99,70,77,94,97,98,199,93,96,100,58,52,70,56,62,94,51,13,17
017106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,2515786800,PROPRIETARY,1/12/1993,Y,Y,N,N,N,Y,89,96,99,100,74,77,98,99,98,199,96,99,99,49,48,42,45,26,199,49,13,20
017146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE NE, PO BOX 1147",RUSSELLVILLE,AL,35653,2563310006,PROPRIETARY,10/1/1998,Y,Y,N,N,N,Y,96,82,100,100,53,60,100,100,99,100,99,100,100,65,63,62,61,52,199,64,8,24
017147,SOUTHERN HOME HEALTH SERVICES,2214 B GATEWAY DRIVE,OPELIKA,AL,36801,3347457966,PROPRIETARY,2/18/1999,Y,Y,Y,Y,Y,Y,90,74,93,98,81,79,199,99,98,199,199,92,97,60,61,66,55,64,199,67,23,12
017008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,2059169500,GOVERNMENT - STATE/COUNTY,10/1/1972,Y,Y,Y,Y,Y,Y,95,99,89,100,54,58,100,98,99,199,100,100,100,65,62,64,68,62,80,49,12,23
017037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,3343955100,PROPRIETARY,10/1/1981,Y,Y,Y,Y,Y,Y,86,95,95,85,51,45,97,99,100,96,98,97,99,60,56,67,73,62,90,57,10,18
017058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,2516210882,PROPRIETARY,10/25/1984,Y,Y,Y,Y,Y,Y,92,83,95,98,44,43,81,99,96,100,90,92,100,61,57,76,72,60,92,58,11,13
017089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,2567372831,VOLUNTARY NON-PROFIT - OTHER,6/11/1992,Y,Y,Y,N,Y,Y,96,98,90,100,82,86,97,100,99,100,93,100,99,54,70,59,61,61,89,41,14,15
017136,RELIABLE HOME HEALTH,435 MEETING STREET,GEORGIANA,AL,36033,3343762286,PROPRIETARY,9/26/1994,Y,Y,N,N,Y,Y,87,90,100,99,48,47,94,96,100,199,97,96,91,61,41,67,61,62,199,52,20,18
017831,GENEVA COUNTY HOME CARE,300 COUNTY ROAD 41,HARTFORD,AL,36344,3346842259,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,N,N,Y,Y,98,100,89,100,84,75,100,97,100,199,100,95,99,73,54,60,59,61,199,55,20,13
017151,GENTIVA HEALTH SERVICES,1328 GREENBRIER-DEAR ROAD,ANNISTON,AL,36207,2568357101,PROPRIETARY,10/5/2000,Y,Y,Y,Y,Y,Y,94,85,98,97,81,90,72,100,86,93,87,96,100,72,63,77,80,73,88,61,14,20
017154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,AL,35173,2056553707,PROPRIETARY,2/20/2003,Y,Y,Y,Y,Y,Y,90,81,98,100,53,53,92,100,99,199,95,98,100,59,47,70,70,81,99,60,11,17
017327,AMEDISYS HOME HEALTH OF WALKER,100 HIGHWAY 78 WEST,JASPER,AL,35501,2052952434,PROPRIETARY,8/3/2005,Y,Y,Y,Y,Y,Y,94,91,99,100,80,85,97,99,99,199,98,99,100,69,55,76,67,71,93,60,12,15
017169,CV HOME HEALTH SERVICES,17035 HWY 11 NORTH,VANCE,AL,35490,2055629615,PROPRIETARY,12/15/2010,Y,Y,Y,Y,Y,Y,91,89,100,100,83,50,100,99,100,100,100,100,100,64,46,63,61,54,86,53,199,199
017009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,2058242680,PROPRIETARY,1/18/1973,Y,Y,Y,Y,Y,Y,94,95,94,99,73,71,96,100,99,97,98,100,100,66,58,74,66,69,91,57,11,17
017051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,2058680147,PROPRIETARY,6/1/1984,Y,Y,Y,Y,Y,Y,87,86,99,100,62,60,95,99,100,90,96,98,100,57,46,66,68,70,88,55,10,19
017052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519433002,PROPRIETARY,9/20/1984,Y,Y,Y,Y,Y,Y,87,92,97,97,74,66,89,99,98,199,90,77,97,60,55,71,74,67,92,55,12,18
017071,GENTIVA HEALTH SERVICES,12521 ALABAMA HIGHWAY 157,MOULTON,AL,35650,2057397800,PROPRIETARY,8/21/1986,Y,Y,Y,Y,Y,Y,94,91,97,98,62,63,91,99,95,98,93,99,99,68,62,74,65,67,91,59,13,18
017066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,2514338172,PROPRIETARY,2/24/1986,Y,Y,Y,Y,Y,Y,97,99,100,100,64,64,100,100,100,100,100,100,100,56,51,62,64,50,92,49,10,17
017067,INTREPID USA HEALTHCARE SERVICES,7212 COPPERFIELD DRIVE,MONTGOMERY,AL,36117,3342707913,PROPRIETARY,5/9/1986,Y,Y,Y,Y,Y,Y,85,60,83,96,41,36,78,98,89,199,75,93,97,62,53,62,71,76,100,48,13,18
017096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705257,GOVERNMENT - LOCAL,10/27/1992,Y,Y,Y,Y,N,Y,96,97,98,100,71,70,100,100,100,199,100,99,100,66,68,60,75,75,100,58,16,22
017116,IVY CREEK HOME HEALTH OF ELMORE,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,3345677710,PROPRIETARY,7/26/1993,Y,Y,Y,Y,N,Y,91,99,100,99,66,68,97,100,99,199,98,98,99,50,49,70,65,44,89,54,16,16
017125,KELLER HOME CARE,217 HOSPITAL ROAD,RED BAY,AL,35582,2563568160,PROPRIETARY,1/20/1994,Y,Y,Y,Y,Y,Y,96,96,97,95,64,65,96,99,98,100,97,100,97,70,57,74,63,55,100,57,11,20
017132,ST VINCENT'S HOME HEALTH OF BLOUNT COUNTY,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,2052743365,PROPRIETARY,6/15/1994,Y,Y,Y,Y,Y,Y,96,98,95,99,73,83,95,99,95,98,91,100,99,45,45,56,59,55,83,40,15,16
017323,MONROE CO HOSP PROGRESSIVE HOM,DR WOODROW EDDINS MED DR-P.O. 886,MONROEVILLE,AL,36461,2517437328,GOVERNMENT - STATE/COUNTY,3/6/1995,Y,Y,Y,N,N,Y,94,94,99,97,69,61,84,97,99,199,97,98,96,46,45,56,53,63,89,41,20,14
017851,MONTGOMERY COUNTY HOME CARE,3060 MOBILE HIGHWAY,MONTGOMERY,AL,36108,3342936525,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,Y,Y,Y,100,87,90,98,61,51,85,100,77,199,84,98,100,46,39,36,51,49,199,22,199,199
017174,ULTRA CARE OF ETOWAH COUNTY,"100 MEDICAL CENTER DRIVE, SUITE 306",GADSDEN,AL,35903,2564594971,PROPRIETARY,3/7/2013,Y,Y,Y,Y,Y,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
017050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,2565394457,PROPRIETARY,10/19/1983,Y,Y,Y,Y,Y,Y,87,97,100,99,84,74,95,100,96,199,100,100,95,58,49,67,70,69,199,57,17,23
017072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,3343822042,PROPRIETARY,2/5/1987,Y,Y,N,Y,N,Y,93,86,100,100,75,75,86,100,97,199,47,70,100,65,48,69,59,56,199,56,16,12
017083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,2052989886,PROPRIETARY,11/19/1991,Y,Y,Y,Y,Y,Y,94,84,100,100,81,81,95,100,99,100,98,100,100,50,49,56,54,53,97,36,10,16
017130,INFIRMARY HOMECARE OF GROVE HILL,127-C CLARKE STREET,GROVE HILL,AL,36451,2512753136,PROPRIETARY,4/13/1994,Y,Y,Y,Y,Y,Y,96,96,95,100,76,82,99,100,100,199,98,100,99,77,61,78,72,71,98,63,14,16
017145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,AL,35128,2058847202,PROPRIETARY,11/29/1995,Y,Y,Y,Y,Y,Y,96,99,92,98,82,86,90,100,93,100,85,99,99,57,54,71,75,65,83,54,10,24
017307,GENTIVA HEALTH SERVICES,"5009 RIVER CHASE DRIVE, BLDG 100, SUITE C",PHENIX CITY,AL,36867,3342976900,PROPRIETARY,5/4/1982,Y,Y,Y,Y,Y,Y,89,91,100,98,43,44,96,99,97,199,95,96,99,67,65,70,73,80,88,60,9,16
017112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,AL,36545,2512470424,PROPRIETARY,6/29/1993,Y,Y,N,Y,N,Y,99,97,98,99,82,81,100,100,100,199,100,100,100,63,54,62,78,74,199,46,18,13
017159,AMEDISYS HOME HEALTH OF OZARK,"123 S PAINTER AVENUE, SUITE C",OZARK,AL,36360,3347740370,PROPRIETARY,7/26/2006,Y,Y,N,Y,Y,Y,93,96,82,100,76,73,97,97,99,199,97,93,100,56,46,63,60,53,90,52,18,15
017160,CARESOUTH HOMECARE PROFESSIONALS,"2002 35TH STREET, SUITE D",VALLEY,AL,36854,3347566225,PROPRIETARY,9/13/2006,Y,Y,Y,N,N,Y,89,91,96,98,54,56,91,100,98,92,92,100,99,60,48,63,62,66,90,43,9,20
017026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,2057397800,PROPRIETARY,3/29/1979,Y,Y,Y,Y,Y,Y,87,92,97,96,58,56,88,99,97,91,93,96,99,56,56,66,76,72,92,55,14,17
017027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,2563504182,PROPRIETARY,7/25/1979,Y,Y,Y,Y,Y,Y,94,86,96,95,50,49,87,100,92,91,87,96,99,64,58,70,63,55,96,57,13,17
017041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,2059793180,PROPRIETARY,8/4/1982,Y,Y,Y,Y,Y,Y,87,96,96,94,87,71,95,99,99,100,97,98,99,59,54,66,73,58,80,50,11,16
017835,HOUSTON COUNTY HOME CARE,1781 E COTTONWOOD ROAD,DOTHAN,AL,36302,3346782805,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,N,N,Y,Y,92,93,86,98,61,60,94,96,99,199,97,96,100,57,42,51,61,53,93,43,17,17
017836,JACKSON COUNTY HOME CARE,204 LIBERTY LANE,SCOTTSBORO,AL,35769,2562593694,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,N,Y,Y,97,99,91,100,52,72,100,98,100,199,95,98,100,55,69,60,35,55,199,42,10,20
017856,RANDOLPH COUNTY HOME CARE,320 MAIN STREET,ROANOKE,AL,36274,3348638983,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,N,Y,Y,95,89,78,95,57,57,94,99,94,99,95,96,100,55,55,58,55,43,93,43,16,15
017158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,AL,35967,2568448303,PROPRIETARY,7/11/2006,Y,Y,Y,Y,Y,Y,89,87,100,100,88,84,95,100,99,100,99,100,100,71,62,77,71,70,100,65,13,17
017014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,2052744919,PROPRIETARY,9/4/1975,Y,Y,Y,Y,Y,N,92,93,99,97,75,77,90,100,99,199,96,99,100,69,54,81,70,81,98,65,9,13
017035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,2514503300,PROPRIETARY,8/20/1981,Y,Y,Y,Y,Y,Y,95,96,98,98,70,70,93,99,100,99,97,97,99,69,60,77,75,67,93,64,7,17
017094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,2569271144,PROPRIETARY,8/13/1992,Y,Y,Y,N,Y,Y,97,98,100,95,84,87,100,100,100,199,100,95,100,61,48,78,50,39,199,54,11,15
017118,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B",MOULTON,AL,35650,2569742200,PROPRIETARY,8/17/1993,Y,Y,Y,Y,Y,Y,94,80,87,100,76,77,84,100,92,199,199,96,100,55,42,61,62,54,199,47,14,12
017134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,3344932087,PROPRIETARY,6/14/1994,Y,Y,Y,Y,Y,Y,99,98,99,99,82,85,93,100,99,199,89,99,100,78,63,85,82,74,95,65,14,18
017142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,AL,36502,2513686286,VOLUNTARY NON-PROFIT - OTHER,2/13/1995,Y,Y,N,N,N,Y,93,98,100,100,80,79,93,100,99,199,98,100,100,58,68,65,57,48,199,52,16,14
017320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,AL,36701,3348752550,PROPRIETARY,10/31/1991,Y,Y,Y,Y,N,Y,94,91,95,100,55,47,96,100,96,100,97,97,100,63,54,68,70,62,94,55,12,18
017817,NORTHWEST ALABAMA REGIONAL HOME CARE AGENCY,1000 SOUTH JACKSON HIGHWAY,SHEFFIELD,AL,35660,2563831234,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,Y,N,Y,Y,100,96,98,100,62,65,98,100,97,99,99,100,100,79,67,92,70,62,199,73,21,25
017818,CONECUH COUNTY HOME CARE,115 RURAL STREET,EVERGREEN,AL,36401,2515785265,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,N,N,Y,Y,97,95,92,100,48,49,98,98,100,199,100,98,100,68,67,76,68,74,199,49,21,22
017857,RUSSELL COUNTY HOME CARE,1850 CRAWFORD ROAD,PHENIX CITY,AL,36868,3342985581,GOVERNMENT - STATE/COUNTY,3/9/1971,Y,Y,Y,Y,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,201
017867,WINSTON COUNTY HOME CARE,110 LEGION ROAD,DOUBLE SPRINGS,AL,35553,2054863159,GOVERNMENT - STATE/COUNTY,7/1/1966,Y,Y,N,Y,Y,Y,99,97,100,100,74,76,97,100,100,99,99,100,100,79,71,94,76,74,199,72,7,22
017170,GENTIVA HEALTH SERVICES,1458 JONES DAIRY ROAD SUITE 100,JASPER,AL,35501,2052215234,PROPRIETARY,9/4/2009,Y,Y,Y,Y,Y,Y,95,94,100,100,86,87,87,100,96,90,88,99,100,62,46,65,69,60,96,46,10,14
