"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends"
"108075","A & B HOME HEALTH INC","4431 DAVIE ROAD, SUITE 119","DAVIE","FL","33314","9543218681","Proprietary",7/15/2004 0:00:00,"Y","Y","Y","Y","Y","Y",51,70,39,67,60,34,65,29,17,68
"679451","A & C HEALTH SERVICES","10101 FONDREN ROAD SUITE 220A","HOUSTON","TX","77096","7137718570","Proprietary",3/17/2004 0:00:00,"Y","Y","Y","Y","Y","Y",18,13,62,54,59,19,17,38,33,57
"679395","A & C HEALTH SERVICES INC","5805 CALLAGHAN ROAD SUITE 102","SAN ANTONIO","TX","78228","2105205335","Proprietary",12/19/2003 0:00:00,"Y","Y","Y","Y","Y","Y",55,61,30,43,95,64,67,38,40,64
"679532","A & G HOME HEALTH SERVICES","301 NELSON STREET","SEABROOK","TX","77586","2812910168","Proprietary",8/9/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"679333","A & G PERSONAL PROVIDER SERVICES","318 WATERFRONT DRIVE","SEABROOK","TX","77586","2814742277","Proprietary",9/4/2003 0:00:00,"Y","Y","Y","Y","Y","Y",53,58,16,70,78,199,68,36,31,64
"457998","A & I HEALTHCARE INC","1400 N WESTGATE SUITE 102","WESLACO","TX","78596","9569687017","Proprietary",2/8/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"368130","A & L HOME CARE AND TRAINING CENTER, LLC","6101 STATE ROUTE 7, PO BOX 1010","PROCTORVILLE","OH","45669","7408867623","Proprietary",12/15/2005 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"467200","A - PLUS HOME CARE","1443 NORTH 1200 WEST","OREM","UT","84057","8012250990","Proprietary",2/1/2001 0:00:00,"Y","Y","Y","Y","Y","Y",43,60,35,61,59,33,64,34,24,58
"367603","A 1 ASSOCIATED NURSES INC","1298 ASHLAND ROAD","MANSFIELD","OH","44905","4195892776","Proprietary",11/1/1994 0:00:00,"Y","Y","Y","N","N","Y",201,201,201,201,201,201,201,201,201,201
"679326","A 1 HOME CARE","535 WEST PURNELL SUITE 150","LEWISVILLE","TX","75057","9722211072","Proprietary",8/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",52,64,61,62,76,48,70,44,41,48
"457988","A 1 HOME HEALTH CARE","817 E SOUTHMORE SUITE #206","PASADENA","TX","77502","7134752300","Proprietary",1/27/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"367193","A 1 NURSING CARE INC","1855 EAST DUBLIN GRANVILLE ROAD, SUITE 204","COLUMBUS","OH","43229","6143683800","Proprietary",7/16/1982 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199
"367542","A 1 NURSING CARE OF CLEVELAND","2060 S TAYLOR RD, SUITE 101","CLEVELAND HEIGHTS","OH","44118","2168123437","Proprietary",11/2/1993 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,61,33,40
"497594","A ALL ABOUT CARE","9327 MIDLOTHIAN TURNPIKE SUITE 2H","RICHMOND","VA","23236","8045605430","Proprietary",11/10/2004 0:00:00,"Y","Y","Y","Y","Y","Y",53,53,42,50,48,29,65,28,17,68
"267601","A BETTER WAY HOME CARE","15332 MANCHESTER ROAD","ELLISVILLE","MO","63011","6363915353","Proprietary",12/6/2005 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,57,54,34
"057433","A C  HOME HEALTH AGENCY, INC.","3870 CRENSHAW BLVD 205","LOS ANGELES","CA","90008","3232945189","Proprietary",10/12/1993 0:00:00,"Y","Y","Y","Y","Y","Y",39,49,82,87,92,67,75,35,34,61
"457965","A C T HOME HEALTH","4401 I 35 SUITE 208","DENTON","TX","76207","9404842900","Proprietary",12/1/2005 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199
"679329","A CARE HOME HEALTH SERVICES","5909 WEST LOOP SOUTH SUITE 570","BELLAIRE","TX","77401","7136658200","Proprietary",8/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",24,34,31,63,53,34,47,53,55,38
"367660","A CARING ALTERNATIVE INC","1220 HURON ROAD","CLEVELAND","OH","44115","2166646544","Proprietary",9/15/1995 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"679071","A CENTER FOR HOME CARE","708 SOUTHVIEW CIRCLE","CENTER","TX","75935","9365919550","Proprietary",9/19/2001 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,61,46,30
"247248","A CHANCE TO GROW INC","1800 SECOND STREET NE","MINNEAPOLIS","MN","55418","6127891236","Voluntary Non Profit - Other",2/14/1989 0:00:00,"Y","Y","Y","Y","N","N",201,201,201,201,201,201,201,201,201,201
"679505","A COMPASSIONATE CARE HOME HEALTH SERVICES","4000 S MEDFORD SUITE 17 E","LUFKIN","TX","75901","9366390011","Proprietary",7/14/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"367499","A D HOME HEALTH CARE","1018 DELTA AVENUE, SUITE 203","CINCINNATI","OH","45208","5135334977","Proprietary",10/2/1992 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,25,199,199,31,29,66
"107784","A FAMILIAR FACE HOME HEALTH","5899 WHITFIELD AVENUE, SUITE 107","SARASOTA","FL","34243","9413559474","Voluntary Non Profit - Private",6/26/2003 0:00:00,"Y","Y","N","N","Y","Y",38,199,199,199,199,199,199,30,23,61
"107639","A FAMILIAR FACE HOME HEALTH SERVICES, INC.","3222 17TH STREET","SARASOTA","FL","34235","9413659474","Proprietary",4/13/2001 0:00:00,"Y","Y","Y","Y","Y","Y",35,68,199,79,57,32,68,24,18,71
"677875","A FRIENDLY HOME HEALTH CARE LLC","4811 SHANNON DRIVE","FRISCO","TX","75034","2146186889","Proprietary",3/21/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"137109","A FULL LIFE HEALTHCARE","9075 N GOVERNMENT WAY","HAYDEN","ID","83835","2087624214","Proprietary",5/11/2006 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201
"679066","A GOOD HOME HEALTH CARE","1128 W HILDEBRAND","SAN ANTONIO","TX","78201","2107376690","Proprietary",8/6/2001 0:00:00,"Y","Y","Y","Y","Y","Y",31,35,199,72,73,31,59,38,31,51
"457890","A HEALING TOUCH HOME HEALTH","617 S TEXAS BLVD SUITE #B","WESLACO","TX","78596","9564471803","Proprietary",9/15/2005 0:00:00,"Y","Y","N","N","Y","N",53,53,19,23,93,48,27,40,33,54
"677902","A KARYNG HOME HEALTH SERVICES","10039 BISSONNET STREET SUITE #322","HOUSTON","TX","77036","7132727900","Proprietary",4/14/2006 0:00:00,"Y","N","Y","N","N","Y",201,201,201,201,201,201,201,201,201,201
"368114","A M FRIENDS & FAMILY HEALTHCARE, LLC","2097 SOUTH HAMILTON ROAD, SUITE 118","COLUMBUS","OH","43232","6148663400","Proprietary",10/20/2005 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"679140","A MISSION OF HOME HEALTH CARE INC","3455 HIGHLAND RD STE 200","DALLAS","TX","75228","2143279656","Proprietary",6/6/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,57,59,41
"459323","A ONE PLUS HOME HEALTH CARE AGENCY LLC","107 NORTH CEDAR RIDGE DRIVE SUITE 112","DUNCANVILLE","TX","75116","9722839499","Proprietary",6/27/1997 0:00:00,"Y","Y","Y","Y","Y","Y",48,199,199,199,65,199,199,29,28,69
"677545","A PINEYWOODS HOME HEALTH CARE INC","103D CARRIAGE DRIVE","LUFKIN","TX","75904","9366341617","Proprietary",11/12/1992 0:00:00,"Y","Y","Y","Y","Y","Y",38,53,41,63,64,39,55,45,39,51
"679082","A PLUS FAMILY CARE LLC","6323 SOVEREIGN RD SUITE 172B","SAN ANTONIO","TX","78229","2105309111","Voluntary Non Profit - Other",10/25/2001 0:00:00,"Y","Y","Y","Y","Y","Y",34,41,34,57,59,37,50,31,5,65
"277017","A PLUS HEALTH CARE, INC","1300 ASPEN STE 2","HELENA","MT","59601","4064434140","Proprietary",11/28/1973 0:00:00,"Y","Y","Y","Y","Y","Y",30,61,57,51,64,34,64,30,26,66
"237552","A PLUS HOME HEALTH CARE","18161WEST 12 MILE ROAD","LATHRUP VILLAGE","MI","48076","2484430053","Proprietary",2/8/2005 0:00:00,"Y","Y","Y","Y","Y","Y",40,53,72,77,62,57,58,30,15,68
"157555","A PLUS HOME HEALTH CARE INC","8141 KENNEDY AVE SUITE 2","HIGHLAND","IN","46322","2199238772","Proprietary",5/19/2004 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,39,5,49
"108336","A PLUS HOME HEALTH CARE INC","2101 NW 33RD STREET, STE 2900","POMPANO BEACH","FL","33069","9545860770","Proprietary",8/16/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"108101","A PLUS HOME HEALTH CARE INC","14000 MILITARY TRAIL, STE 204-D","DELRAY BEACH","FL","33484","5619210801","Proprietary",10/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",35,52,57,53,62,44,59,24,5,71
"678381","A PLUS HOME HEALTH SERVICES","900 CHELSEA SUITE #B","EL PASO","TX","79903","9153517312","Proprietary",8/14/1996 0:00:00,"Y","Y","Y","Y","Y","Y",48,50,57,85,66,47,83,37,12,57
"557420","A PLUS HOME HEALTH SPECIALISTS","1414 S AZUSA AVENUE B-15","WEST COVINA","CA","91790","6269189905","Proprietary",7/18/1994 0:00:00,"Y","Y","Y","Y","Y","Y",75,77,75,95,95,93,89,5,8,95
"107644","A S A HOME CARE SVCS INC","8700 WEST FLAGLER STREET, SUITE 110","MIAMI","FL","33174","3054476516","Proprietary",5/9/2001 0:00:00,"Y","Y","Y","Y","Y","Y",42,45,39,70,63,44,42,31,31,67
"459339","A TOUCH HOME HEALTH CARE LTD","3122 CENTER POINTE DRIVE","EDINBURG","TX","78539","9569280167","Proprietary",7/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",40,43,30,51,70,46,41,29,17,67
"673157","A TOUCH HOME HEALTH CARE P II LTD","6430 CULMORE","HOUSTON","TX","77054","7136457505","Proprietary",3/30/2005 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199
"679539","A TRINITY VALLEY HOME HEALTH AND THERAPY SERVICES","800 LAKESIDE DRIVE","ATHENS","TX","75751","9036773500","Proprietary",8/25/2006 0:00:00,"Y","Y","Y","Y","Y","N",201,201,201,201,201,201,201,201,201,201
"679110","A UNIFIED HOME HEALTH AGENCY INC","2033 MILITARY PARKWAY STE 400 D","MESQUITE","TX","75149","9722167311","Proprietary",2/15/2002 0:00:00,"Y","Y","Y","Y","Y","Y",39,37,199,91,91,199,84,38,5,54
"108082","A VISITING REDI-NURSE","839 BARTON BLVD, SUITE C","ROCKLEDGE","FL","32955","3215760351","Proprietary",8/6/2004 0:00:00,"Y","Y","Y","Y","Y","Y",35,199,199,56,199,199,199,35,22,66
"107150","A VISITING REDI-NURSE","1800 FOREST HILL BLVD SUITE B-1","WEST PALM BEACH","FL","33406","5614338800","Proprietary",4/1/1977 0:00:00,"Y","Y","Y","Y","Y","Y",36,54,51,70,65,40,64,27,23,68
"108318","A VISITING REDI-NURSE OF SOUTHWEST FLORIDA","1250 TAMIAMI TRAIL NORTH, STE 305","NAPLES","FL","34102","2392625002","Proprietary",6/21/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"058313","A'S HOME HEALTH CARE, INC","14125 TELEPHONE AVENUE SUITE 14","CHINO","CA","91710","9094659023","Proprietary",10/25/2005 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"147643","A+ HEALTHCARE","890 43RD AVENUE","MOLINE","IL","61265","3097628181","Proprietary",10/10/1996 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"107645","A+ HEALTHCARE SPECIALISTS","7647 W GULF TO LAKE HIGHWAY, SUITE 1","CRYSTAL RIVER","FL","34429","3525642700","Proprietary",4/28/1999 0:00:00,"Y","Y","Y","Y","Y","Y",41,59,27,77,67,35,52,24,23,72
"107646","A+ HEALTHCARE SPECIALISTS","3300 SW 34TH AVENUE, UNIT 104","OCALA","FL","34474","3528614931","Proprietary",9/6/2000 0:00:00,"Y","Y","Y","Y","Y","Y",42,64,69,63,70,42,64,23,23,72
"237551","A-1 INTERNATIONAL HOMECARE, INC","42217 EAST ANN ARBOR ROAD","PLYMOUTH","MI","48170","7344593758","Proprietary",2/10/2005 0:00:00,"Y","Y","Y","Y","Y","Y",36,40,61,64,69,38,65,29,21,68
"197606","A-1 NURSING REGISTRY, INC.","515 A VEROT SCHOOL ROAD","LAFAYETTE","LA","70508","3372375570","Proprietary",9/27/1993 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,19,12,79
"447259","A-CERTIVE MEDICAL","321 NORTH SPRING STREET, SUITE 200","CLARKSVILLE","TN","37040","9315523782","Proprietary",2/24/1984 0:00:00,"Y","Y","Y","Y","Y","Y",34,59,52,60,61,32,52,32,19,63
"108187","AA ADVANCED CARE INC","13501 SW 128 STREET, SUITE 207","MIAMI","FL","33186","3052744553","Proprietary",7/26/2005 0:00:00,"Y","Y","Y","Y","Y","Y",42,42,15,80,68,46,49,24,19,70
"197403","AAA HOME HEALTH AGENCY","2111 HWY 14","NEW IBERIA","LA","70560","3373670940","Proprietary",4/23/1991 0:00:00,"Y","Y","Y","Y","Y","Y",37,40,50,41,53,33,51,41,31,48
"679458","AAA HOME HEALTH CARE AGENCY","7610 N STEMMONS FREEWAY SUITE 230","DALLAS","TX","75247","2146370073","Proprietary",4/1/2004 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199
"108015","AAA HOME HEALTH SERVICES, INC","2929 SW 3RD AVENUE, SUITE 520","MIAMI","FL","33129","3058568003","Proprietary",11/24/2003 0:00:00,"Y","Y","N","N","N","Y",18,8,199,29,21,199,28,37,25,62
"157525","AAA HOOSIER HOME HEALTH CARE SPECIALISTS INC","5241 FOUNTAIN DR, SUITE D","CROWN POINT","IN","46307","2197362996","Proprietary",9/8/1998 0:00:00,"Y","Y","Y","N","Y","Y",42,54,25,55,54,34,43,51,54,43
"047308","AAA SOUTHEAST AR ASHLEY CO","208 ALABAMA","CROSSETT","AR","71635","8703647788","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047307","AAA SOUTHEAST AR CHICOT CO","310 MAIN STREET","LAKE VILLAGE","AR","71653","8702653841","Voluntary Non Profit - Private",1/6/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047309","AAA SOUTHEAST AR CLEVELAND CO","201 MAIN STREET","RISON","AR","71665","8703257455","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,44,43,51
"047306","AAA SOUTHEAST AR DREW CO","110 EAST GAINS","MONTICELLO","AR","71657","8703679873","Voluntary Non Profit - Other",1/7/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,199,199,199
"047313","AAA SOUTHEAST AR GRANT CO","2071 HIGHWAY 167 SOUTH","SHERIDAN","AR","72150","8709424842","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","Y","Y","N","Y",199,199,199,199,199,199,199,199,199,199
"047030","AAA SOUTHEAST AR JEFFERSON CO","709 EAST EIGHTH AVE","PINE BLUFF","AR","71611","8705436300","Voluntary Non Profit - Private",1/5/1982 0:00:00,"Y","Y","N","N","N","Y",29,48,17,30,50,14,34,20,21,75
"047310","AAA SOUTHEAST AR LINCOLN CO","700 SOUTH LINCOLN","STAR CITY","AR","71667","8706285147","Voluntary Non Profit - Private",2/11/1982 0:00:00,"Y","Y","N","N","N","Y",23,199,199,22,43,199,199,17,17,75
"047315","AAA SOUTHEAST AR, INC- ARKANSAS CO","2116 SOUTH BUERKLE, SUITE A","STUTTGART","AR","72160","8706737146","Voluntary Non Profit - Private",9/2/1982 0:00:00,"Y","Y","N","N","N","Y",29,199,199,35,36,199,199,49,24,45
"047314","AAA SOUTHEAST BRADLEY CO","110 EAST CEDAR STREET","WARREN","AR","71671","8702265769","Voluntary Non Profit - Private",8/19/1982 0:00:00,"Y","Y","N","N","N","Y",199,199,199,199,199,199,199,29,199,199
"047158","AAA WESTERN AR FRANKLIN CO","317 WEST COMMERCIAL","OZARK","AR","72949","4796674870","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","Y","Y","N","Y",38,37,56,57,63,42,24,28,17,68
"047156","AAA WESTERN AR LOGAN CO","333 SOUTH FIRST STREET","PARIS","AR","72855","4799636868","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","N","N","Y","Y",46,42,44,66,64,46,50,34,28,61
"047162","AAA WESTERN AR POLK CO","600 SEVENTH STREET","MENA","AR","71953","4793945458","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","N","N","Y","Y",53,49,199,94,63,199,73,22,18,74
"047157","AAA WESTERN AR SCOTT CO","1579 CLYDE HAWKINS DRIVE","WALDRON","AR","72958","4796374795","Voluntary Non Profit - Private",7/1/1995 0:00:00,"Y","Y","N","N","Y","Y",78,86,84,87,95,87,83,23,24,74
"047034","AAA WESTERN AR SEBASTIAN CO","524 GARRISON AVENUE","FORT SMITH","AR","72902","4797835550","Voluntary Non Profit - Other",1/19/1982 0:00:00,"Y","Y","N","N","N","Y",37,44,28,59,60,28,47,30,26,66
"107610","AACTION HOME HEALTH CARE","1671 WEST 37 STREET, SUITE 4","HIALEAH","FL","33012","3053624594","Proprietary",2/15/2000 0:00:00,"Y","Y","Y","Y","Y","Y",57,82,68,95,90,81,88,19,21,80
"679537","AAGES HEALTH CARE","185 KONA DRIVE","BASTROP","TX","78602","5123211885","Proprietary",8/23/2006 0:00:00,"Y","N","N","N","N","Y",201,201,201,201,201,201,201,201,201,201
"673168","AARON HOME HEALTH CARE SERVICES INC","4575 S WESTMORELAND ROAD","DALLAS","TX","75237","2144673880","Proprietary",3/22/2005 0:00:00,"Y","Y","N","Y","Y","Y",199,199,199,199,199,199,199,199,199,199
"677837","AB FOCUSCARE HOMEHEALTH NETWORK INC","1301 NORTHWEST HIGHWAY SUITE 208","GARLAND","TX","75041","2142275177","Voluntary Non Profit - Private",3/13/2006 0:00:00,"Y","Y","Y","Y","Y","N",201,201,201,201,201,201,201,201,201,201
"097061","ABA HOME HEALTH CARE, INC","821 KENNEDY STREET, NW","WASHINGTON","DC","20011","2027221725","Proprietary",7/13/2006 0:00:00,"Y","Y","Y","N","N","Y",201,201,201,201,201,201,201,201,201,201
"677893","ABACUS HEALTHCARE  LLP","5750 RUFE SNOW DRIVE  SUITE 130","NORTH RICHLAND HILLS","TX","76180","8178491645","Proprietary",4/4/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"147692","ABBEY ST. CLAIRE QUALITY CARE","3415 N ODELL AVENUE","CHICAGO","IL","60634","7738369306","Proprietary",9/15/1997 0:00:00,"Y","Y","Y","Y","Y","Y",52,62,199,89,78,76,70,26,30,70
"673171","ABBI HOME CARE INC","5608 MALVEY AVENUE  SUITE 304","FORT WORTH","TX","76107","8173770889","Voluntary Non Profit - Other",4/1/2005 0:00:00,"Y","Y","N","N","N","N",199,199,199,199,199,199,199,199,199,199
"679344","ABBIE HEALTH CARE INC","4423 NW LOOP 410 SUITE 102","SAN ANTONIO","TX","78229","2103417800","Proprietary",9/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",40,46,39,53,56,37,50,43,40,50
"368014","ABBOTT HOME CARE, INC","209 MARION PIKE","COAL GROVE","OH","45638","7405349908","Proprietary",3/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",42,59,42,73,69,48,59,47,33,52
"397255","ABBY HEALTH CARE INC","287 EDISON STREET","UNIONTOWN","PA","15401","7244398330","Proprietary",7/6/1984 0:00:00,"Y","Y","Y","Y","Y","Y",48,42,199,63,55,42,47,29,31,71
"679129","ABBY HOME HEALTH","1401 WEST WHEELER","ARANSAS PASS","TX","78336","3617589336","Proprietary",4/26/2002 0:00:00,"Y","Y","Y","Y","Y","Y",27,36,17,26,44,35,22,42,34,52
"367519","ABC HEALTH CARE INC","1605 HOLLAND ROAD, SUITE A1","MAUMEE","OH","43537","4198939700","Proprietary",5/5/1993 0:00:00,"Y","Y","Y","Y","N","Y",31,39,47,57,59,41,60,33,34,67
